s	sd	sd/s	U	min_Kolmogorov	RMSE
0.000805	0.00048	0.48	0.006	0.002375764930752	0.0007515948991816
6.5e-05	0.00148	1.48	0.006	0.0133298130949376	0.0050379265576406
3.5e-05	0.00181	1.8099999999999998	0.006	0.011497608540092	0.0047043621255277
0.00061	0.00068	0.68	0.006	0.0005370733638401	0.0001760065451131
0.000985	2e-05	0.02	0.006	0.0010075536703674	0.0003985418971483
3.5e-05	0.00197	1.97	0.006	0.0130106522933425	0.0051919274928454
0.00067	0.00061	0.61	0.006	0.0023453254442651	0.0007177814993053
0.000975	5e-05	0.05	0.006	0.0015619229441092	0.0004735746408741
4e-05	0.00166	1.66	0.006	0.0130741602062259	0.0051384068103706
0.000365	0.00089	0.8899999999999999	0.006	0.0018203539724626	0.0005622494892656
0.00016	0.00115	1.15	0.006	0.0064865719526369	0.0025744917968888
0.000345	0.00092	0.92	0.006	0.0020585905419348	0.0007699766242301
0.00086	0.00039	0.38999999999999996	0.006	0.0015583574784303	0.0005409848471914
0.00041	0.00087	0.87	0.006	0.001179662542096	0.000458847024475
0.00082	0.00049	0.49	0.006	0.0023870139203876	0.0007404215423406
4e-05	0.0017	1.7	0.006	0.0133552439465401	0.0050886795145528
3e-05	0.00196	1.96	0.006	0.012602276626246	0.0050422454224378
0.00063	0.00066	0.66	0.006	0.0006940261146807	0.0002258070826626
3.5e-05	0.0018	1.7999999999999998	0.006	0.0130617648731091	0.0051098016082018
7e-05	0.0014	1.4	0.006	0.0138154675150455	0.0047070365137696
0.00054	0.00074	0.74	0.006	0.0023363542331804	0.0009130481932112
0.00042	0.00088	0.88	0.006	0.0036875346518782	0.0013887760512036
0.00064	0.00069	0.69	0.006	0.0041632959262925	0.0015618828703066
0.0007	0.00059	0.59	0.006	0.0035925154638599	0.0011369682668679
0.00088	0.00044	0.44	0.006	0.0022260142844464	0.0007564408512985
0.00084	0.00046	0.46	0.006	0.003191497173361	0.0011969226108564
0.00044	0.00082	0.82	0.006	0.0006429372112588	0.0002473740868478
3.5e-05	0.00167	1.67	0.006	0.014006123808409	0.0050702079956218
0.000355	0.00091	0.91	0.006	0.0015837902961236	0.0005670487711379
0.000165	0.00119	1.1900000000000002	0.006	0.0078199562904717	0.0026660173367851
0.000855	0.00038	0.38	0.006	0.00056339860908	0.0001780163704255
0.000215	0.00109	1.09	0.006	0.0044573847673788	0.001597835189396
0.000835	0.00047	0.47	0.006	0.0024719861623368	0.0008422713815968
4.5e-05	0.00161	1.61	0.006	0.0126433220098134	0.0050478981579919
5e-05	0.00155	1.5499999999999998	0.006	0.0121133570759473	0.0048396871699957
0.00046	0.00081	0.8099999999999999	0.006	0.0011289589893047	0.0003411184604168
0.000935	0.00031	0.31	0.006	0.0011189630293323	0.0003591970499806
7e-05	0.00145	1.45	0.006	0.0116924688268928	0.0044036886886598
0.00101	7e-05	0.06999999999999999	0.006	0.0015710643713356	0.0005094982889836
0.00098	0.00015	0.15	0.006	0.0003608845368608	0.0001121991540742
3.5e-05	0.00173	1.73	0.006	0.0133329203468869	0.0047877915222957
0.0001	0.00128	1.28	0.006	0.0114289127768627	0.0043409939686804
3.5e-05	0.0019	1.9	0.006	0.0133112110896963	0.0053508344683513
0.000425	0.00085	0.85	0.006	0.0007301265209087	0.0002301040518017
0.000735	0.00052	0.5199999999999999	0.006	0.0014645804912087	0.000469133198858
0.00055	0.00073	0.73	0.006	0.0017480010676609	0.0006866915422159
0.0001	0.00132	1.32	0.006	0.0112203398651904	0.0041197400247426
0.00098	0.00014	0.13999999999999999	0.006	0.0003352252601168	0.0001205226506324
0.00097	0.0002	0.2	0.006	0.0007671347498715	0.0002600965597347
0.000385	0.0009	0.8999999999999999	0.006	0.0015771077138431	0.0005232375903439
9.5e-05	0.00133	1.33	0.006	0.0117965672240328	0.0043249904481146
0.00091	0.00032	0.32	0.006	0.0010819080719068	0.0003559817155779
0.00094	0.00021	0.21	0.006	0.0014906553673105	0.0004545813920694
7.5e-05	0.00139	1.39	0.006	0.0132023297509846	0.0050755912311071
0.00031	0.00098	0.98	0.006	0.0015141950447944	0.0005141677030438
8.5e-05	0.00138	1.38	0.006	0.0124851488964045	0.0050794067066037
0.000985	4e-05	0.04	0.006	0.0010372297238333	0.0003272643027472
0.00014	0.0012	1.2	0.006	0.0095031662952559	0.0038100535338432
0.000275	0.00101	1.01	0.006	0.0024720698701117	0.0007311575398701
0.000955	0.00024	0.24	0.006	0.0002131251792605	6.10348945236081e-05
0.00099	0.00011	0.11	0.006	0.0004036984607522	0.0001266177749737
0.00052	0.00078	0.7799999999999999	0.006	0.0020892962737958	0.0007707540762612
4.5e-05	0.00162	1.6199999999999999	0.006	0.0128357609332446	0.0050445197715369
3.5e-05	0.00198	1.98	0.006	0.0123199921220132	0.0050330447482132
6.5e-05	0.00143	1.43	0.006	0.012172301440156	0.0047094033059501
9.5e-05	0.00136	1.36	0.006	0.0114966404279353	0.0042463750724655
0.00084	0.00043	0.43	0.006	0.000747357679459	0.0002354090966549
0.000295	0.00097	0.9700000000000001	0.006	0.0036486766233628	0.0013783542760582
4e-05	0.00168	1.68	0.006	0.0123378305245757	0.0048987224142761
6.5e-05	0.00147	1.47	0.006	0.0126184345580184	0.0048107772127794
0.00063	0.00063	0.63	0.006	0.0017024034071289	0.0005900916800188
0.000125	0.00127	1.27	0.006	0.0113382945109936	0.0044880715042928
4e-05	0.00163	1.63	0.006	0.0126185629677215	0.0050435916601265
0.0007	0.00058	0.58	0.006	0.0019731427681554	0.0005877593113921
0.000585	0.00071	0.71	0.006	0.004091993482264	0.0013904449642356
3.5e-05	0.00174	1.74	0.006	0.0123795279479768	0.0046662692301422
0.00097	0.00017	0.17	0.006	0.001791428595834	0.0006139825752003
3.5e-05	0.00176	1.76	0.006	0.0118528757967463	0.0045891512948776
0.00054	0.00076	0.76	0.006	0.0040597985819809	0.0013498710704736
0.00089	0.00036	0.36000000000000004	0.006	0.0002401379343334	9.037720046733684e-05
3.5e-05	0.00175	1.75	0.006	0.0131922341200071	0.0049217322192766
0.000245	0.00103	1.03	0.006	0.0045412563101574	0.0017204692112256
3e-05	0.00186	1.86	0.006	0.0125921373163294	0.0049932491611045
