s	sd	sd/s	U	min_Kolmogorov	RMSE
4e-05	0.00648	1.6199999999999999	0.006	0.0175856486192127	0.0075101978194202
0.00382	0.00084	0.21	0.006	0.0012764585772974	0.0004895080660808
0.00014	0.00372	0.93	0.006	0.0256410677258798	0.0100836477999561
4e-05	0.00548	1.3699999999999999	0.006	0.0179344577816046	0.0076007823391329
0.00048	0.00308	0.7699999999999999	0.006	0.0179150245714556	0.0061645643961793
0.00108	0.00256	0.64	0.006	0.0039436456095685	0.0013590699759391
0.00086	0.00272	0.68	0.006	0.008454822167314	0.0030901494478668
4e-05	0.00696	1.74	0.006	0.0177663342038995	0.0076197907126657
0.00402	0.00032	0.08	0.006	0.0008173654283689	0.0002525455151901
4e-05	0.00552	1.38	0.006	0.0175820613258347	0.007539749950753
4e-05	0.00512	1.28	0.006	0.0186340406790489	0.0075660702858219
4e-05	0.007	1.75	0.006	0.0178262854312033	0.0074635640209366
0.00352	0.0012	0.3	0.006	0.0030121519124161	0.0010030648305417
0.00352	0.00116	0.29	0.006	0.0016983535799621	0.0005050582608092
4e-05	0.00644	1.61	0.006	0.0193171775062455	0.0076706450690155
4e-05	0.00684	1.71	0.006	0.018336490704047	0.0075000092579161
8e-05	0.00396	0.99	0.006	0.0235253535809877	0.0089425431621312
4e-05	0.005	1.25	0.006	0.0182929651862313	0.0073568980282071
0.00078	0.00276	0.69	0.006	0.0111109478373396	0.0036057826378235
4e-05	0.00764	1.91	0.006	0.0185694126955886	0.0077383742357649
0.00034	0.0032	0.8	0.006	0.0212945684691431	0.0082165127972488
0.00398	8e-05	0.02	0.006	0.0007176764937928	0.0002247644477858
4e-05	0.00632	1.58	0.006	0.0186937925758342	0.0076003064799665
4e-05	0.00616	1.5399999999999998	0.006	0.0179601588592747	0.0075570559385963
0.00074	0.0028	0.7	0.006	0.0091276006739641	0.0034727504152153
0.00052	0.00296	0.74	0.006	0.017300564059352	0.0060861902329957
4e-05	0.00484	1.21	0.006	0.0175970554449749	0.0073740912491303
0.00404	0.00024	0.06	0.006	0.0007576374753903	0.0002556152177443
0.00322	0.00148	0.37	0.006	0.0004535684495211	0.0001515777012054
4e-05	0.00596	1.49	0.006	0.0184496412148804	0.0074999619611279
4e-05	0.00592	1.48	0.006	0.0178665477048474	0.0075492108694685
4e-05	0.0066	1.65	0.006	0.0177108926475273	0.007473864076135
4e-05	0.0074	1.85	0.006	0.0186171390698313	0.0077319820173415
0.00362	0.00104	0.25999999999999995	0.006	0.0024593627380988	0.000736638980227
4e-05	0.0048	1.2	0.006	0.0178421778633816	0.0074081965833941
0.00016	0.00352	0.88	0.006	0.0253615132880979	0.0096555992239765
8e-05	0.00404	1.01	0.006	0.0218543804721378	0.0087364926744102
4e-05	0.00496	1.24	0.006	0.0183302273922431	0.0074537471696183
0.00092	0.00268	0.67	0.006	0.0062313846211124	0.0019524816562679
0.0001	0.0038	0.95	0.006	0.0292052818409254	0.0102221514962804
0.00274	0.00172	0.43	0.006	0.0015431320347122	0.0005348183444516
0.00376	0.00076	0.19	0.006	0.0004929344889429	0.0001466543285562
4e-05	0.00756	1.89	0.006	0.0179543628499645	0.0076051822873006
4e-05	0.00588	1.47	0.006	0.0188404927857729	0.0075950449983216
0.0001	0.00392	0.98	0.006	0.0250505766947376	0.009449676803764
0.00016	0.0036	0.8999999999999999	0.006	0.0244826498018369	0.0095892715325749
4e-05	0.00628	1.57	0.006	0.018099740459325	0.0077390647510796
4e-05	0.00608	1.52	0.006	0.0187622255870538	0.0074966863598979
0.0029	0.00164	0.41	0.006	0.001894050366513	0.000574906126975
0.00022	0.0034	0.85	0.006	0.0254642831999613	0.0094804900719552
4e-05	0.00528	1.32	0.006	0.0174502767306807	0.0074702797148044
0.00012	0.00376	0.94	0.006	0.0269156250701098	0.0104773599566565
4e-05	0.00448	1.1199999999999999	0.006	0.020499500769378	0.0078808929933635
0.0001	0.00388	0.9700000000000001	0.006	0.0237103635373119	0.0093319538776298
0.00062	0.00292	0.73	0.006	0.0103264460524803	0.0034761136985055
0.00022	0.00344	0.86	0.006	0.0223621886189423	0.0087925615200238
4e-05	0.00556	1.39	0.006	0.0178626826932155	0.0076631266410779
4e-05	0.00724	1.8099999999999998	0.006	0.0176293669687516	0.007592363957899
0.00116	0.00252	0.63	0.006	0.0025073120258586	0.0007808114015073
