s	sd	sd/s	U	min_Kolmogorov	RMSE
0.001	0.00089	0.8899999999999999	8.3e-05	0.0069547747083415	0.0025335933011186
0.001	0.00109	1.09	4.8e-05	0.0042710123147643	0.0015330621056031
0.001	0.00173	1.73	3.75e-05	0.0026284697740817	0.0009653613225801
0.001	0.0	0.0	0.0001	9.041217043026516e-05	3.0405546161053667e-05
0.001	0.00111	1.11	4.35e-05	0.003921072594328	0.001375066289304
0.001	0.00031	0.31	0.000109	0.0016000172549752	0.0005814756689267
0.001	0.00177	1.77	4.3e-05	0.0029445265758032	0.0010985658501661
0.001	0.00183	1.83	3.75e-05	0.003127208564488	0.0010445308385115
0.001	0.0019	1.9	4.35e-05	0.0034308440447378	0.0011095024023346
0.001	0.00015	0.15	0.0001	2.894514799017811e-05	9.788078215414233e-06
0.001	0.00054	0.54	0.000128	0.0064157378756344	0.002405826472324
0.001	0.00184	1.84	4.25e-05	0.0030152638951995	0.0010927670072805
0.001	0.0011	1.1	4.35e-05	0.0041865024388972	0.0015006760786264
0.001	0.00013	0.12999999999999998	0.000102	0.0003536514352344	0.000119778646543
0.001	0.00169	1.6900000000000002	3.65e-05	0.0026592452989635	0.0009400292904743
0.001	0.00121	1.21	3.75e-05	0.0037481070420205	0.0011877532176096
0.001	0.00196	1.96	4.8e-05	0.0029896574434913	0.0010777494918012
0.001	0.00199	1.99	5e-05	0.0033689251808592	0.0012672973539664
0.001	0.00147	1.47	3.65e-05	0.0029695647257474	0.0010431023781429
0.001	0.00154	1.5399999999999998	3.65e-05	0.0027873751248599	0.0009981691841314
0.001	0.0007	0.7	0.0001185	0.0081126021160244	0.0030206976876963
0.001	0.00063	0.63	0.0001185	0.00732772550075	0.0027882193089857
0.001	0.00077	0.7699999999999999	0.000111	0.0079585240070617	0.0029778799750202
0.001	0.00106	1.0599999999999998	5.45e-05	0.0047368106815823	0.0017189265246623
0.001	0.00148	1.48	3.65e-05	0.0029989560184006	0.0010413696239704
0.001	0.00087	0.87	8.75e-05	0.007668771794922	0.0027997917035377
0.001	0.00017	0.17	0.000103	0.0004709377997611	0.0001646413357003
0.001	0.00124	1.24	3.75e-05	0.0035750999843835	0.0011807828121767
0.001	0.00079	0.79	0.000106	0.0080032404321942	0.0029635960800667
0.001	0.00144	1.4400000000000002	3.65e-05	0.0029173187366013	0.0010030074551181
0.001	0.00021	0.21	0.000102	0.0004385378053292	0.0001494467965431
0.001	0.00168	1.68	4.25e-05	0.0029461143318625	0.0010424834193659
0.001	0.00058	0.58	0.0001215	0.0066435371503623	0.0023517180829132
0.001	0.00062	0.62	0.0001215	0.0062613660394094	0.0023000672331462
0.001	0.00036	0.36000000000000004	0.0001115	0.0018868391950784	0.0007292616391937
0.001	0.00055	0.55	0.00012	0.004507835574452	0.0017317083639954
0.001	0.00156	1.5599999999999998	3.75e-05	0.0027950535579737	0.0009982468642514
0.001	0.00116	1.16	4.25e-05	0.0037129977277513	0.0012892540449518
0.001	0.00139	1.39	3.75e-05	0.0029152986766659	0.0010114114397756
0.001	0.00085	0.85	9.75e-05	0.0081541862318407	0.0030401330176133
0.001	0.00059	0.59	0.0001215	0.0053305635143851	0.0019463732313706
0.001	0.00033	0.33	0.0001075	0.0014036461213762	0.0005226813421247
0.001	0.00182	1.82	3.75e-05	0.002622188190423	0.0009230508843514
0.001	0.00135	1.35	3.65e-05	0.003276083724105	0.0011864097138747
0.001	0.00035	0.35	0.000111	0.00178360786171	0.0006830771563406
0.001	0.00166	1.66	4.35e-05	0.0029859489628428	0.0010546069928154
0.001	0.00127	1.27	3.75e-05	0.0031464298681458	0.0010154596252567
0.001	0.00195	1.95	4.2e-05	0.0031400697782567	0.001150487191905
0.001	0.00108	1.08	5.05e-05	0.0043925872488351	0.0015980270069319
0.001	3e-05	0.03	9.9e-05	0.0001263057174935	4.92573993277372e-05
0.001	0.00153	1.5299999999999998	3.65e-05	0.0028434217799969	0.0009937678557469
0.001	0.00053	0.5299999999999999	0.0001215	0.004740870806806	0.0017646344514068
0.001	0.00145	1.45	3.75e-05	0.0023966599683756	0.0008777086174805
0.001	0.00039	0.38999999999999996	0.0001145	0.0024658049998583	0.0009108106913139
0.001	0.00019	0.19	0.000103	0.0004615536537387	0.0001707623530559
0.001	0.00086	0.86	8.9e-05	0.0080374972464201	0.0029523413884311
0.001	0.0001	0.1	0.000104	0.0005037218107606	0.0001694356960202
0.001	0.00016	0.16	0.000104	0.0005906806134265	0.0002054772191942
0.001	0.00057	0.57	0.0001215	0.0060480609945732	0.0021959633729766
0.001	0.00126	1.26	4.25e-05	0.0037257592441457	0.0013042412599184
0.001	0.00189	1.89	4.25e-05	0.0031887081903884	0.0011548738961752
0.001	0.00037	0.37	0.0001145	0.0025451833488419	0.0009258047028962
0.001	0.00174	1.74	4.35e-05	0.0027822882766458	0.0010001514840685
0.001	0.00158	1.58	3.5e-05	0.0032273031521864	0.0011568814416606
0.001	0.00155	1.5499999999999998	3.75e-05	0.0024526736493598	0.0008871383361622
0.001	0.00032	0.32	0.000111	0.0015784474745789	0.0006112582057777
0.001	0.00088	0.88	9.05e-05	0.0077210907730818	0.0028128461594952
0.001	0.0009	0.8999999999999999	8.3e-05	0.0075913398309035	0.0027077138494092
0.001	0.00069	0.69	0.0001145	0.0076847055488972	0.0028121087236639
0.001	0.00078	0.7799999999999999	0.0001135	0.0083603284611488	0.0031200413545895
0.001	0.00179	1.7899999999999998	4.35e-05	0.0027628909020809	0.000971363980448
0.001	0.00105	1.0499999999999998	5.05e-05	0.0047324662530928	0.0017249662119568
0.001	0.00076	0.76	0.0001075	0.0073363388679689	0.0027334558174267
0.001	0.00103	1.03	7.1e-05	0.0065271475534501	0.0023565702780969
