sim_id	seed	popsize	selcoef	sigma	mutrate	velocity	profile
7	1757059098	5000.0	0.001	0.00086	0.02	0.590172	9.81003799240152e-05,0.000742131573685263,0.002923375324935013,0.012299500099980005,0.027206838632273547,0.04961551689662068,0.06943351329734053,0.0866125974805039,0.10086938612277545,0.11309430113977205,0.11423215356928615,0.10337688462307539,0.08673149370125975,0.06782659468106379,0.0517500099980004,0.03418228354329134,0.022633113377324536,0.018064747050589882,0.01374001199760048,0.009716936612677465,0.006103699260147971,0.0035482903419316136,0.002571645670865827,0.001218636272745451,0.0004747850429914017,0.00026654669066186764,0.00036516696660667864,0.00019668066386722657,8.598280343931214e-05,1.739652069586083e-05,9.998000399920016e-07,6.798640271945611e-07
11	2945112103	5000.0	0.001	0.00086	0.02	0.376780	0.00023219356128774244,0.0014819036192761448,0.004068426314737052,0.011433473305338933,0.020115336932613477,0.030437952409518097,0.043669426114777046,0.05887250549890022,0.0709997200559888,0.07603371325734853,0.07663939212157568,0.07231957608478304,0.06614197160567886,0.062112737452509496,0.057914537092581486,0.04772749450109978,0.03975132973405319,0.03140627874425115,0.023369246150769848,0.01872397520495901,0.01739372125574885,0.017178324335132972,0.01568370325934813,0.015585682863427314,0.019411597680463907,0.020261787642471506,0.019329254149170166,0.015495900819836032,0.012161967606478705,0.009531173765246951,0.008035352929414118,0.005476984603079384,0.003696500699860028,0.0028807038592281544,0.001914377124575085,0.0011770845830833833,0.0006143171365726854,0.00035112977404519095,0.00020163967206558687,6.434713057388523e-05,8.094381123775244e-05,2.0955808838232355e-05,1.3597280543891223e-06
12	3010254889	5000.0	0.001	0.00086	0.02	0.512170	0.00020287942411517697,0.0013603279344131173,0.003010357928414317,0.00753373325334933,0.015442431513697261,0.027651349730053988,0.04642707458508298,0.06738408318336332,0.08600707858428314,0.09466398720255949,0.10158164367126575,0.10567578484303139,0.09636496700659868,0.0832620275944811,0.0695000599880024,0.06019788042391522,0.04715832833433313,0.034690661867626475,0.022146970605878825,0.013421035792841431,0.007916216756648671,0.004550889822035593,0.0023159368126374727,0.0009588482303539292,0.0003969606078784243,0.0001396120775844831,3.47130573885223e-05,3.639272145570886e-06,5.198960207958409e-07
8	2825402395	5000.0	0.001	0.00086	0.02	0.615551	0.0003908418316336733,0.0019873225354929015,0.0031220955808838233,0.005908378324335133,0.011949370125974804,0.018795640871825635,0.02756728654269146,0.03726510697860428,0.04990629874025195,0.061776684663067384,0.07758348330333933,0.08700363927214558,0.09211565686862627,0.08933177364527095,0.08334345130973805,0.07247618476304739,0.06476632673465307,0.053327854429114176,0.04248506298740252,0.03348850229954009,0.023424075184963006,0.01860743851229754,0.013610757848430313,0.009531173765246951,0.006965126974605079,0.004572405518896221,0.003855988802239552,0.002519216156768646,0.0013918416316736652,0.0005543691261747651,0.00023275344931013796,9.102179564087183e-05,3.91121775644871e-05,1.271745650869826e-05,1.0397920415916818e-06
15	245248049	5000.0	0.001	0.00086	0.02	0.583075	0.000226874625074985,0.00156748650269946,0.004083263347330534,0.006022995400919816,0.00895988802239552,0.01507758448310338,0.022583123375324934,0.03237936412717456,0.04488178364327135,0.06229214157168566,0.07776960607878425,0.09377828434313137,0.10061695660867827,0.09409174165166967,0.08708026394721055,0.07975640871825634,0.06662287542491502,0.05388514297140572,0.04309022195560888,0.030925734853029394,0.02202623475304939,0.01494373125374925,0.010513817236552689,0.0075222155568886225,0.0060259948010397925,0.005068346330733853,0.0033698860227954408,0.0024479504099180166,0.0010590681863627274,0.0005455308938212358,0.00030041991601679666,0.00012033593281343731,0.00014157168566286742,0.00018792241551689661,2.8914217156568685e-05,4.759048190361927e-06,1.5596880623875224e-06
2	1073874951	5000.0	0.001	0.00086	0.02	0.556184	0.00010285942811437712,0.0012196360727854429,0.0031175364927014597,0.006881503699260148,0.015136132773445311,0.03214709058188362,0.055058268346330735,0.07886694661067786,0.09722139572085584,0.10459644071185763,0.10850785842831434,0.10353105378924216,0.09123307338532294,0.07793181363727254,0.06351033793241352,0.05036728654269146,0.03559348130373925,0.025211917616476703,0.01794525094981004,0.012197920415916816,0.007753089382123575,0.004748650269946011,0.0032087982403519295,0.002223235352929414,0.0009870825834833034,0.00029130173965206957,0.00019912017596480705,0.00014177164567086582,3.8432313537292545e-05,2.8674265146970606e-05,2.039592081583683e-06
17	754765886	5000.0	0.001	0.00086	0.02	0.491885	8.630273945210958e-05,0.00025250949810037994,0.0009394521095780844,0.0012437112577484504,0.002528614277144571,0.005069826034793041,0.010846470705858828,0.019784603079384122,0.03431341731653669,0.05129114177164567,0.07814437112577484,0.10042447510497901,0.1131491701659668,0.11002527494501099,0.09598232353529294,0.08076864627074586,0.0716877824435113,0.06124907018596281,0.0479246550689862,0.03337112577484503,0.0259622475504899,0.01926758648270346,0.01301875624875025,0.00994493101379724,0.006243071385722856,0.0035176564687062588,0.001320135972805439,0.0007282143571285742,0.0004500699860027994,0.00032769446110777844,0.0001139372125574885,1.867626474705059e-05,3.4793041391721655e-06,5.598880223955209e-07,3.9992001599680065e-08
5	2093029397	5000.0	0.001	0.00086	0.02	0.496256	0.00011381723655268946,0.00042115576884623076,0.000811117776444711,0.0019825634873025396,0.004289382123575285,0.007970125974805039,0.018349010197960407,0.03337860427914417,0.05027658468306339,0.06452105578884224,0.07697240551889623,0.09661643671265747,0.10638372325534894,0.10366726654669066,0.09429422115576884,0.08152545490901819,0.06812133573285344,0.054148450309938014,0.042153089382123574,0.03189514097180564,0.022502019596080784,0.014989242151569685,0.009352969406118777,0.006040311937612478,0.0033489702059588083,0.002586522695460908,0.0014227154569086183,0.0008492701459708058,0.0004645870825834833,0.0003040991801639672,0.00012145570885822835,9.826034793041392e-05,1.1197760447910418e-05,1.6196760647870427e-05,1.2397520495900819e-06
10	2539239459	5000.0	0.001	0.00086	0.02	0.604419	7.98240351929614e-05,0.00043455308938212357,0.0014574285142971407,0.0023849230153969204,0.0035196960607878423,0.007437912417516497,0.013409638072385523,0.01870889822035593,0.03336064787042591,0.05135564887022596,0.06538492301539692,0.07591541691661667,0.08695916816636673,0.09919352129574086,0.1008488302339532,0.09551881623675265,0.08570369926014797,0.07607690461907618,0.06044095180963807,0.043351809638072385,0.0296000799840032,0.01835124975004999,0.012966046790641872,0.00784863027394521,0.004079584083183364,0.0023090981803639272,0.001702739452109578,0.0009068986202759448,0.0003969606078784243,0.00014233153369326134,0.0001143371325734853,3.031393721255749e-05,7.758448310337932e-06,7.598480303939212e-07
16	2396256309	5000.0	0.001	0.00086	0.02	0.612899	0.00010025994801039792,0.002009878024395121,0.008402919416116776,0.019771925614877024,0.03495728854229154,0.058945970805838833,0.0812885822835433,0.10172285542891421,0.109898900219956,0.10170977804439112,0.08932925414917016,0.08073777244551089,0.07406878624275146,0.06449018196360728,0.05281379724055189,0.03778484303139372,0.027560847830433912,0.02107838432313537,0.013734213157368527,0.008580563887222555,0.005249270145970806,0.003122135572885423,0.0015228154369126175,0.0006366726654669066,0.00030161967606478704,0.00012301539692061587,2.3155368926214757e-05,2.36752649470106e-05,9.958008398320336e-06,6.798640271945611e-07
