sim_id	seed	popsize	selcoef	sigma	mutrate	velocity	profile
0	3761352705	5000.0	0.001	0.00033	0.006	0.308517	0.026018356328734255,0.07783995200959808,0.1289746850629874,0.17485966806638673,0.1919149370125975,0.15462051589682063,0.11475456908618277,0.06397052589482104,0.03208146370725855,0.01940983803239352,0.009150929814037192,0.003799240151969606,0.0017203359328134373,0.0007530893821235753,0.00011345730853829234,1.7956408718256348e-05,4.799040191961608e-07
4	1840764937	5000.0	0.001	0.00033	0.006	0.252685	0.0059445310937812435,0.059585762847430515,0.14322883423315336,0.16978200359928014,0.18364783043391322,0.15073249350129975,0.11259496100779844,0.0746368726254749,0.04715516896620676,0.028604359128174366,0.013610557888422315,0.007012357528494301,0.0027969606078784245,0.0005235352929414117,0.00013749250149970005,6.27874425114977e-06
6	2024192013	5000.0	0.001	0.00033	0.006	0.399681	0.005493901219756049,0.025733093381323735,0.05262899420115977,0.09995824835032993,0.16414561087782442,0.18542847430513898,0.1540118376324735,0.12787214557088583,0.08335116976604678,0.04708446310737852,0.025475464907018595,0.015846550689862026,0.00836124775044991,0.0030662267546490703,0.0010265946810637872,0.0004453909218156369,7.014597080583883e-05,3.5992801439712056e-07,7.998400319936013e-08
17	2528729156	5000.0	0.001	0.00033	0.006	0.293678	0.003696620675864827,0.01733389322135573,0.0662630673865227,0.10740839832033593,0.14074049190161966,0.18199220155968807,0.1707150569886023,0.12884595080983804,0.09139628074385123,0.04671829634073185,0.01981499700059988,0.01312629474105179,0.0073834833033393325,0.0027716056788642273,0.0011068186362727455,0.0005734853029394122,0.00010305938812237552,9.998000399920016e-06
9	2094925856	5000.0	0.001	0.00033	0.006	0.266692	0.006210757848430314,0.014663227354529094,0.030202159568086383,0.05583867226554689,0.12107394521095781,0.1868743051389722,0.17940763847230554,0.14379120175964807,0.10015388922215557,0.07185582883423315,0.04591497700459908,0.02273009398120376,0.011777924415116976,0.005074305138972206,0.002987122575484903,0.0012517896420715857,0.0001550889822035593,2.9114177164567087e-05,7.918416316736653e-06,3.9992001599680065e-08
2	2583179265	5000.0	0.001	0.00033	0.006	0.325604	0.012782283543291341,0.06060279944011198,0.11267630473905219,0.16109590081983605,0.19338136372725456,0.164647550489902,0.1158873425314937,0.07116780643871226,0.049197440511897624,0.02999744051189762,0.01731141771645671,0.00869626074785043,0.0019670465906818637,0.0004978604279144172,8.454309138172366e-05,5.278944211157768e-06,1.3597280543891223e-06
1	313849858	5000.0	0.001	0.00033	0.006	0.091201	0.01027878424315137,0.05271609678064387,0.11556392721455709,0.1477510897820436,0.1743372525494901,0.16039692061587682,0.12279364127174565,0.08693149370125974,0.06197104579084183,0.03407030593881224,0.018208558288342332,0.009978844231153769,0.003081983603279344,0.0014,0.00025750849830033994,6.782643471305739e-05,8.038392321535692e-05,6.390721855628875e-05,4.5670865826834635e-05,4.759048190361927e-06
5	1652844554	5000.0	0.001	0.00033	0.006	0.256625	0.0021121775644871027,0.045551809638072385,0.09042715456908618,0.15034653069386122,0.17438260347930415,0.17174593081383724,0.14706570685862827,0.0996382323535293,0.05663903219356129,0.02948530293941212,0.016501379724055187,0.00885874825034993,0.0032358328334333134,0.002379404119176165,0.0002818636272745451,6.486702659468106e-05,1.16376724655069e-05,2.319536092781444e-06,0.0004515496900619876,0.00043583283343331334,0.00034781043791241753,3.3633273345330936e-05,6.39872025594881e-07
12	2014287920	5000.0	0.001	0.00033	0.006	0.333503	0.0029378124375124973,0.044902779444111175,0.13294045190961806,0.17590521895620875,0.16610621875624876,0.14735648870225954,0.11409066186762648,0.08495308938212358,0.06064787042591482,0.04093405318936213,0.01855488902219556,0.006611957608478304,0.0025632073585282944,0.001304619076184763,0.0001801639672065587,9.398120375924815e-06,1.1197760447910417e-06
7	2971797527	5000.0	0.001	0.00033	0.006	0.327415	0.008836112777444512,0.03860211957608478,0.10921763647270546,0.17412145570885823,0.1905367726454709,0.16317836432713456,0.12395416916616676,0.07883859228154369,0.05008906218756249,0.029146410717856428,0.015917016596680662,0.009365246950609878,0.005488342331533693,0.0016687062587482503,0.0005332933413317336,0.00040103979204159166,0.00010361927614477104,1.839632073585283e-06,1.9996000799840033e-07
