sim_id	seed	popsize	selcoef	sigma	mutrate	velocity	profile
1	2924467206	5000.0	0.004	0.00012	0.006	0.001512	0.21580535892821437,0.3400120775844831,0.25024547090581883,0.12913241351729654,0.04678256348730254,0.013187242551489703,0.003774605078984203,0.0007524095180963807,0.0002857828434313137,2.1155768846230754e-05,9.198160367926415e-07
0	669268994	5000.0	0.004	0.00012	0.006	-0.000081	0.20508114377124576,0.32188566286742654,0.2711280543891222,0.13039712057588482,0.04976808638272345,0.014859548090381924,0.005470225954809038,0.0011600879824035194,0.00020811837632473505,9.678064387122576e-06,2.3115376924615077e-05,8.518296340731854e-06,6.39872025594881e-07
16	2062716483	5000.0	0.004	0.00012	0.006	-0.004619	0.2064101979604079,0.33541855628874223,0.26004447110577883,0.12956784643071387,0.048013437312537495,0.015356488702259549,0.004601559688062387,0.0005504099180163967,3.5192961407718455e-05,1.839632073585283e-06
4	1848971800	5000.0	0.004	0.00012	0.006	-0.001494	0.13219772045590883,0.31827590481903617,0.30117132573485306,0.15895224955009,0.06260075984803039,0.019214797040591883,0.005260627874425115,0.0017298140371925614,0.0005460907818436312,4.871025794841032e-05,1.799640071985603e-06,1.9996000799840033e-07
7	1764741152	5000.0	0.004	0.00012	0.006	-0.002616	1.6116776644671066e-05,0.29925642871425717,0.3124878224355129,0.22189634073185363,0.10996420715856829,0.04077256548690262,0.012009038192361527,0.0027732853429314136,0.0007320135972805439,8.442311537692461e-05,7.518496300739852e-06,2.399520095980804e-07
11	963783225	5000.0	0.004	0.00012	0.006	0.087545	0.12168146370725855,0.3029005798840232,0.28722291541691664,0.1807119376124775,0.07499552089582083,0.024707698460307938,0.006356568686262747,0.001240111977604479,0.00017824435112977406,4.799040191961608e-06,1.5996800639872026e-07
15	1130293315	5000.0	0.004	0.00012	0.006	0.016889	0.175823275344931,0.3196857828434313,0.271774925014997,0.1476385922815437,0.061631913617276546,0.016905458908218356,0.004970885822835433,0.001287742451509698,0.00024163167366526695,3.615276944611078e-05,3.639272145570886e-06
8	962934313	5000.0	0.004	0.00012	0.006	-0.011188	0.21003139372125576,0.3116131173765247,0.2604735452909418,0.13561423715256948,0.053895180963807236,0.021023435312937412,0.005985922815436913,0.001094141171765647,0.00023723255348930214,2.9434113177364527e-05,2.359528094381124e-06
18	178557000	5000.0	0.004	0.00012	0.006	-0.004785	0.19084283143371325,0.326302299540092,0.2448113577284543,0.1507755648870226,0.058784443111377725,0.022130573885222955,0.005101099780043991,0.0011177764447110577,0.00013185362927414516,2.1595680863827235e-06,0.0,3.9992001599680065e-08
3	4259477013	5000.0	0.004	0.00012	0.006	-0.002009	0.23023571285742853,0.33497120575884826,0.25723227354529093,0.12295372925414917,0.039466146770645874,0.011847790441911617,0.0027624475104979004,0.00047026594681063785,5.8788242351529694e-05,1.6396720655868826e-06
13	452583997	5000.0	0.004	0.00012	0.006	0.048148	0.150323775244951,0.3518363927214557,0.277303299340132,0.136973125374925,0.05733005398920216,0.01890521895620876,0.006074785042991401,0.0009952809438112378,0.0002540291941611678,3.999200159968006e-06,3.9992001599680065e-08
2	501410316	5000.0	0.004	0.00012	0.006	0.013357	0.20572893421315736,0.32631973605278947,0.2671119776044791,0.1299987602479504,0.05028274345130974,0.015880783843231355,0.0039509698060387925,0.0006396320735852829,7.446510697860428e-05,1.199760047990402e-05
6	1166623261	5000.0	0.004	0.00012	0.006	0.000571	0.18884167166566687,0.285473625274945,0.27223159368126376,0.15945878824235152,0.06465714857028594,0.021292021595680864,0.0059374925014997,0.001766126774645071,0.00029198160367926415,4.2511497700459906e-05,6.918616276744651e-06,1.199760047990402e-07
19	2944581198	5000.0	0.004	0.00012	0.006	-0.002486	0.24803143371325734,0.31348070385922816,0.24313053389322137,0.12820123975204958,0.05014881023795241,0.013538812237552489,0.0027038992201559686,0.000674745050989802,8.146370725854829e-05,7.718456308738253e-06,6.39872025594881e-07
5	639513626	5000.0	0.004	0.00012	0.006	-0.024466	0.22829190161967605,0.3079286142771446,0.259422275544891,0.1289998800239952,0.05381727654469106,0.01646130773845231,0.004162887422515497,0.0007713257348530293,7.746450709858028e-05,5.806838632273545e-05,6.43871225754849e-06,2.559488102379524e-06
