sim_id	seed	popsize	selcoef	sigma	mutrate	velocity	profile
4	420907042	5000.0	0.001	0.00189	0.02	0.773819	8.474305138972205e-05,0.00044659068186362727,0.0010437912417516496,0.0026593481303739254,0.004591081783643271,0.006546970605878825,0.011012437512497501,0.01888482303539292,0.030805838832233555,0.04613981203759248,0.06317272545490901,0.07917032593481303,0.09570085982803439,0.10683523295340931,0.11173985202959408,0.10467930413917216,0.087524575084983,0.0670242351529694,0.050969606078784244,0.03603271345730854,0.023104499100179966,0.015076464707058588,0.011285822835432913,0.008140851829634073,0.006124535092981403,0.003989162167566487,0.002792361527694461,0.0022260747850429913,0.0012135172965406919,0.0005742851429714058,0.00023199360127974404,0.000127374525094981,4.083183363327334e-05,5.99880023995201e-06,1.319736052789442e-06,3.9992001599680065e-08
10	1110609969	5000.0	0.001	0.00189	0.02	0.948065	3.639272145570886e-05,0.00018240351929614076,0.0002639472105578884,0.00023343331333733252,0.000693381323735253,0.0023061787642471507,0.005593361327734453,0.011225754849030194,0.017457308538292342,0.02771641671665667,0.04317560487902419,0.05756952609478105,0.07167786442711457,0.08165214957008599,0.08917932413517296,0.08709582083583284,0.08504859028194361,0.0846014397120576,0.08020143971205759,0.06860547890421916,0.05391181763647271,0.0422627474505099,0.03126346730653869,0.023380603879224155,0.014956808638272345,0.007950409918016398,0.004706418716256749,0.0028466706658668265,0.0017650869826034794,0.0012241951609678065,0.0006000799840031993,0.00031645670865826836,0.00010221955608878225,8.530293941211757e-05,8.578284343131374e-05,1.0397920415916817e-05,2.1195760847830435e-06,1.5596880623875224e-06,7.478504299140172e-06,3.839232153569286e-06,7.198560287942411e-07
6	638126119	5000.0	0.001	0.00189	0.02	0.890471	8.422315536892622e-05,0.00025510897820435913,0.0007545690861827635,0.0018504699060187962,0.002530893821235753,0.00457248550289942,0.008504419116176765,0.016080783843231354,0.027567806438712258,0.04195636872625475,0.05476636672665467,0.06934061187762447,0.0847992401519696,0.09817072585482903,0.10375120975804838,0.10187922415516897,0.0954136372725455,0.08320479904019196,0.0660993401319736,0.04715188962207559,0.0329499300139972,0.022966726654669065,0.015200199960007998,0.009543571285742852,0.005420195960807839,0.002429874025194961,0.001312137572485503,0.0006231553689262148,0.00044179164167166564,0.00019244151169766046,5.646870625874825e-05,7.40251949610078e-05,4.727054589082184e-05,7.118576284743051e-06,8.798240351929614e-07,3.9992001599680065e-08
18	2740179023	5000.0	0.001	0.00189	0.02	0.723256	0.00019332133573285343,0.0010523495300939812,0.0033798440311937615,0.008700739852029593,0.018486222755448912,0.028612037592481505,0.03647870425914817,0.046240911817636475,0.05936836632673465,0.07140071985602879,0.078149650069986,0.0785633673265347,0.08168018396320736,0.08500475904819037,0.08006110777844432,0.07418236352729454,0.0632369526094781,0.05157380523895221,0.040404519096180765,0.027729894021195762,0.02055728854229154,0.014681623675264948,0.010214517096580684,0.006995480903819237,0.004698980203959208,0.003030353929214157,0.0020617076584683062,0.0014841031793641271,0.0007889222155568886,0.0003854029194161168,0.0003734453109378124,0.00014237152569486104,5.9148170365926814e-05,1.987602479504099e-05,6.43871225754849e-06,3.199360127974405e-07,1.9996000799840033e-07
8	2517983281	5000.0	0.001	0.00189	0.02	0.889316	0.00021743651269746052,0.0005464907018596281,0.0007999600079984003,0.002073145370925815,0.006217556488702259,0.013279624075184963,0.02249490101979604,0.03596856628674265,0.05045754849030194,0.0653734453109378,0.0811740051989602,0.09645298940211958,0.10898504299140171,0.1139258148370326,0.10590581883623275,0.08935696860627874,0.06786602679464107,0.04790237952409518,0.03432217556488702,0.023107178564287144,0.015312057588482303,0.008999120175964806,0.004147410517896421,0.0020177164567086584,0.0013108178364327134,0.0010939812037592481,0.00048774245150969806,0.00016120775844831033,2.7994401119776046e-05,1.3877224555088982e-05,9.998000399920016e-07
13	2374783036	5000.0	0.001	0.00189	0.02	0.940867	6.19876024795041e-05,0.00022711457708458308,0.0003885222955408918,0.0007238552289542091,0.0016565486902619475,0.0033665266946610677,0.006445190961807639,0.013831393721255749,0.024026874625074985,0.03562171565686863,0.04966378724255149,0.062079544091181764,0.07250573885222955,0.08314617076584684,0.08894889022195561,0.09307002599480103,0.09447030593881224,0.08692653469306139,0.0777114177164567,0.06775468906218757,0.05258432313537292,0.035891861627674465,0.021792241551689663,0.013413357328534293,0.007284823035392921,0.004053589282143571,0.00153001399720056,0.0005635672865426914,0.00020971805638872226,4.463107378524295e-05,4.999000199960008e-06,3.9992001599680065e-08
2	4262141964	5000.0	0.001	0.00189	0.02	0.875943	0.00014381123775244952,0.0005574085182963408,0.0017868826234753049,0.0042630273945210954,0.009282303539292141,0.016735412917416516,0.027358888222355528,0.03510485902819436,0.04059188162367527,0.051001199760047994,0.06863451309738053,0.08336672665466907,0.09223235352929414,0.0909511297740452,0.08231753649270146,0.07879676064787043,0.07525610877824435,0.06456868626274745,0.0542871425714857,0.04084631073785243,0.029360927814437113,0.022107898420315936,0.014658068386322736,0.007496860627874425,0.004462067586482704,0.0022445110977804437,0.0008767846430713858,0.0005271345730853829,0.0001636472705458908,1.7556488702259547e-05,1.5996800639872026e-06
7	1535690791	5000.0	0.001	0.00189	0.02	0.944988	3.4633073385322936e-05,0.0001352129574085183,0.0011936412717456508,0.004154089182163567,0.010114857028594281,0.020487102579484103,0.03159424115176965,0.04658940211957609,0.06392965406918616,0.08549498100379924,0.10762755448910218,0.11958136372725454,0.11682043591281743,0.10047842431513697,0.0852742651469706,0.06726034793041391,0.049384923015396924,0.03436684663067387,0.02187230553889222,0.013976484703059388,0.007996480703859228,0.004243431313737253,0.002315736852629474,0.0013829234153169365,0.0012477904419116177,0.0008316736652669466,0.0006227154569086183,0.0004329134173165367,0.00030769846030793843,0.00015696860627874425,7.870425914817037e-05,1.1197760447910418e-05,9.998000399920016e-07
19	1546176593	5000.0	0.001	0.00189	0.02	0.929546	3.91121775644871e-05,0.00015396920615876825,0.00045822835432913415,0.0013506098780243952,0.0031159368126374726,0.005620995800839832,0.011911057788442312,0.02352721455708858,0.04091357728454309,0.059363407318536295,0.077824675064987,0.09831693661267746,0.11773389322135573,0.12204383123375324,0.11003091381723655,0.08738136372725455,0.06847042591481704,0.0553626874625075,0.04524147170565887,0.03224799040191961,0.01933589282143571,0.010326974605078984,0.005054269146170766,0.0020766646670665866,0.0009684463107378524,0.0005898820235952809,0.00027158568286342734,0.00016424715056988603,8.810237952409518e-05,1.4237152569486102e-05,1.3997200559888023e-06
14	310212670	5000.0	0.001	0.00189	0.02	0.743379	7.054589082183563e-05,0.0005861627674465107,0.002365766846630674,0.004769246150769846,0.00882987402519496,0.014932013597280544,0.02371893621275745,0.029621595680863828,0.03465866826634673,0.04134345130973805,0.05123103379324135,0.06566026794641072,0.08028494301139771,0.09350517896420715,0.09920915816836633,0.09296408718256349,0.0753745650869826,0.06333249350129974,0.04728598280343931,0.03148554289142171,0.022724375124975004,0.018476864627074586,0.014930253949210158,0.013975604879024195,0.012695860827834433,0.011269706058788242,0.009268506298740252,0.008682903419316136,0.0071766446710657865,0.006250669866026795,0.004804399120175965,0.0032398720255948812,0.0025303339332133573,0.0012148370325934814,0.0006429914017196561,0.0004406718656268746,0.00019688062387522494,0.00016224755048990203,7.134573085382924e-05,1.5276944611077784e-05,2.399520095980804e-07
