sim_id	seed	popsize	selcoef	sigma	mutrate	velocity	profile
12	144834600	5000.0	0.0004	0.000248	0.006	0.529028	0.002884743051389722,0.03197264547090582,0.10145678864227155,0.1344491901619676,0.14046022795440913,0.13601959608078384,0.12425646870625875,0.10437032593481303,0.07202263547290542,0.04900411917616477,0.033601719656068785,0.022234193161367728,0.017769526094781045,0.012731533693261347,0.007264827034593082,0.005498300339932013,0.0026640671865626876,0.0011601679664067187,0.0001643271345730854,1.4597080583883224e-05
15	2884208689	5000.0	0.0004	0.000248	0.006	0.556314	0.0016876624675064987,0.007980843831233753,0.03671053789242151,0.07648126374725055,0.11812057588482304,0.16742907418516298,0.15602943411317735,0.12099028194361128,0.10440263947210558,0.08418048390321936,0.05345898820235953,0.03918668266346731,0.019101859628074386,0.008594641071785643,0.0032218356328734253,0.0017087382523495302,0.0005229754049190162,0.000137372525494901,1.5876824635072987e-05,2.8834233153369324e-05,9.358128374325134e-06,3.9992001599680065e-08
5	1132576787	5000.0	0.0004	0.000248	0.006	0.390257	0.007035392921415717,0.0281748850229954,0.05953681263747251,0.06938064387122575,0.08256940611877625,0.09951093781243751,0.10084259148170366,0.09209154169166167,0.09199164167166567,0.07905986802639473,0.06307414517096581,0.06482747450509899,0.05951473705258948,0.03755236952609478,0.0248376324735053,0.015502939412117576,0.008450869826034792,0.00743127374525095,0.003321095780843831,0.0019066586682663467,0.0007820835832833433,0.0004180363927214557,0.0009797240551889623,0.0010170365926814636,0.00017308538292341532,1.7076584683063386e-05,3.9992001599680065e-08
9	795428892	5000.0	0.0004	0.000248	0.006	0.611699	0.0019070185962807439,0.02353373325334933,0.0682745850829834,0.11189830033993202,0.14488938212357527,0.15482295540891822,0.14478500299940011,0.12427602479504099,0.09077788442311538,0.06824151169766046,0.03705842831433713,0.018774485102979403,0.006700299940011998,0.0026625874825034995,0.0010323135372925414,0.0003055388922215557,4.443111377724455e-05,1.4717056588682264e-05,7.998400319936013e-07
4	4034140178	5000.0	0.0004	0.000248	0.006	0.507449	0.0008059588082383523,0.0023843231353729254,0.012640591881623675,0.04919500099980004,0.09017668466306739,0.11807234553089382,0.11814029194161167,0.1265359328134373,0.1117382923415317,0.08977268546290741,0.08935672865426915,0.06717844431113777,0.042694621075784846,0.02411785642871426,0.01600615876824635,0.010814757048590282,0.012729214157168565,0.006666866626674665,0.004313337332533493,0.0026842231553689264,0.0026077984403119377,0.0007207758448310338,0.0005506498700259948,9.518096380723855e-05,1.279744051189762e-06
3	929685518	5000.0	0.0004	0.000248	0.006	0.557088	0.0016530693861227755,0.011301499700059989,0.03845350929814037,0.08127650469906018,0.11272813437312537,0.13772249550089982,0.1549360927814437,0.13160643871225755,0.1028490701859628,0.0770745850829834,0.05660667866426715,0.0397621275744851,0.01971537692461508,0.009668986202759447,0.010377004599080183,0.008794641071785642,0.0033661667666466705,0.0012519096180763848,0.00044527094581083785,0.00039248150369926017,1.7196560687862427e-05,7.598480303939212e-07
17	1235421242	5000.0	0.0004	0.000248	0.006	0.403764	0.009836512697460508,0.029852989402119577,0.05211129774045191,0.06420495900819836,0.06367102579484103,0.0875116976604679,0.1053389322135573,0.10555892821435713,0.08597064587082584,0.09687898420315937,0.09574633073385323,0.06934609078184363,0.052935292941411714,0.03518520295940812,0.021377604479104178,0.01318508298340332,0.006338612277544491,0.0035332133573285343,0.0009748050389922015,0.0002911017796440712,0.00010581883623275345,4.09118176364727e-05,3.959208158368327e-06
8	2941767705	5000.0	0.0004	0.000248	0.006	0.630299	0.0009500899820035993,0.009559008198360327,0.03686642671465707,0.09012077584483104,0.1233122175564887,0.14894685062987403,0.15136364727054588,0.11644703059388123,0.09701163767246551,0.07893221355728854,0.06572989402119576,0.039151729654069184,0.019556168766246752,0.010418236352729454,0.006651149770045991,0.002870625874825035,0.0017520495900819836,0.00028130373925214957,7.594481103779244e-05,2.999400119976005e-06
11	432930852	5000.0	0.0004	0.000248	0.006	0.722972	0.001928494301139772,0.009100299940011998,0.03312029594081184,0.06721475704859028,0.10133473305338932,0.12099144171165767,0.1402013597280544,0.1402765446910618,0.1193744851029794,0.096675824835033,0.07252973405318937,0.041415836832633474,0.02216616676664667,0.012561727654469106,0.00704755048990202,0.005237072585482903,0.004046110777844431,0.0022178364327134575,0.0014065186962607479,0.0004469906018796241,0.0005610477904419116,0.00012561487702459509,1.955608878224355e-05
13	453840940	5000.0	0.0004	0.000248	0.006	0.478264	0.0007644071185762848,0.0033905218956208757,0.008624315136972606,0.029614637072585482,0.07636888622275545,0.13096832633473304,0.16604503099380125,0.16193229354129174,0.13084591081783642,0.10457940411917617,0.07579144171165766,0.043972365526894625,0.02437764447110578,0.01764011197760448,0.01083891221755649,0.005721375724855029,0.0039739252149570085,0.002412117576484703,0.001107858428314337,0.0006510297940411918,0.0002646670665866827,8.234353129374125e-05,2.9394121175764847e-05,3.079384123175365e-06
19	4010074180	5000.0	0.0004	0.000248	0.006	0.629287	0.0019004599080183963,0.014074505098980204,0.026200599880023996,0.05527394521095781,0.10079196160767846,0.12753057388522296,0.13018592281543692,0.12503399320135972,0.10068066386722656,0.09116720655868826,0.06625274945010998,0.046218956208758245,0.04823235352929414,0.030219196160767847,0.01656988602279544,0.009712977404519096,0.0064614277144571085,0.0028514697060587884,0.0004115576884623075,0.00021711657668466308,1.219756048790242e-05,2.7994401119776043e-07
14	4070152240	5000.0	0.0004	0.000248	0.006	0.421473	0.006426954609078184,0.01338380323935213,0.051465626874625074,0.1156363527294541,0.145477424515097,0.12976876624675066,0.129998800239952,0.11428026394721055,0.09352377524495101,0.06896512697460508,0.04739628074385123,0.031692101579684065,0.022442111577684463,0.013340931813637272,0.007987722455508899,0.005062387522495501,0.0017318536292741452,0.0006758248350329934,0.00048298340331933613,0.00020087982403519297,5.946810637872426e-05,5.598880223955209e-07
6	398426132	5000.0	0.0004	0.000248	0.006	0.426854	0.0025702859428114377,0.01012377524495101,0.03259376124775045,0.0566127574485103,0.09988470305938812,0.12231597680463907,0.13934637072585482,0.12805422915416917,0.10416796640671866,0.08590733853229354,0.06947406518696261,0.048139652069586085,0.038369166166766645,0.03272393521295741,0.016477224555088984,0.006981123775244951,0.003357768446310738,0.0021130973805238954,0.0006614677064587083,0.00011049790041991602,1.4837032593481303e-05
2	3005779981	5000.0	0.0004	0.000248	0.006	0.387705	0.00556628674265147,0.03233529294141172,0.07607254549090182,0.12703379324135172,0.15770893821235754,0.1400863827234553,0.13221503699260148,0.09683591281743652,0.08067294541091781,0.057316496700659865,0.04009614077184563,0.023780603879224156,0.012250549890021995,0.008267226554689063,0.0033462907418516296,0.0025116976604679063,0.0015438512297540493,0.001288382323535293,0.0005516096780643871,0.00044543091381723653,7.338532293541291e-05,1.199760047990402e-06
1	3697430535	5000.0	0.0004	0.000248	0.006	0.564169	0.0033408118376324733,0.02043875224955009,0.049322095580883824,0.08316656668666267,0.11100275944811037,0.15739436112777444,0.1634247950409918,0.13495888822235552,0.09265298940211958,0.07109586082783444,0.0531123775244951,0.029800279944011198,0.01396364727054589,0.00661131773645271,0.006447630473905219,0.0014661067786442712,0.0006738652269546091,0.0008032393521295741,0.0002980603879224155,2.4195160967806438e-05,1.3997200559888023e-06
10	2003623968	5000.0	0.0004	0.000248	0.006	0.414261	0.0017820435912817437,0.010441871625674864,0.05193657268546291,0.09172837432513498,0.09353601279744052,0.10400527894421116,0.11579684063187362,0.11247690461907618,0.09859356128774245,0.08819588082383523,0.08085530893821236,0.06078396320735853,0.03699036192761448,0.025542931413717256,0.01443131373725255,0.007170445910817836,0.0038434313137372523,0.0010835032993401319,0.0005270545890821835,0.00018100379924015198,9.458108378324334e-05,2.7594481103779245e-06
0	2548543495	5000.0	0.0004	0.000248	0.006	0.669900	0.0009686062787442511,0.004326814637072586,0.01931389722055589,0.04299456108778244,0.09242227554489102,0.152198600279944,0.17385266946610678,0.14893573285342931,0.11787118576284743,0.09168458308338333,0.0643495300939812,0.03531073785242951,0.026546570685862827,0.013970845830833833,0.005983163367326534,0.005099460107978404,0.0030653469306138772,0.0009099780043991202,0.00019180163967206558,3.639272145570886e-06
7	404482067	5000.0	0.0004	0.000248	0.006	0.402874	0.002496500699860028,0.01806838632273545,0.04499644071185763,0.10424383123375325,0.1199116176764647,0.12764191161767646,0.12805494901019795,0.1280243951209758,0.10466062787442512,0.07690537892421516,0.05804911017796441,0.03856008798240352,0.026000239952009598,0.012745530893821235,0.005226314737052589,0.002210117976404719,0.0013512097580483903,0.0005108978204359128,0.0003092581483703259,3.231353729254149e-05,8.798240351929614e-07
16	1069121593	5000.0	0.0004	0.000248	0.006	0.302472	0.0009964807038592282,0.016068106378724255,0.0654257548490302,0.10182959408118376,0.12104223155368926,0.10348330333933213,0.09442819436112777,0.1032111977604479,0.09141463707258549,0.07595260947810438,0.07147854429114177,0.05106378724255149,0.03139820035992801,0.021260947810437913,0.0196748650269946,0.013855588882223555,0.008733653269346131,0.0040859428114377126,0.0025495700859828035,0.0012694661067786442,0.0006063987202559488,0.00015656868626274744,1.4237152569486102e-05,1.199760047990402e-07
18	3556407356	5000.0	0.0004	0.000248	0.006	0.833244	0.0004838632273545291,0.0022203159368126375,0.004069226154769046,0.006620955808838232,0.01724379124175165,0.040574005198960206,0.06562971405718857,0.1118371925614877,0.15653081383723255,0.1562759448110378,0.13447126574685064,0.10649942011597681,0.07691473705258949,0.05405806838632274,0.02986394721055789,0.014894141171765646,0.0094749450109978,0.004851989602079584,0.0015678464307138573,0.000620875824835033,0.0014950609878024395,0.001966366726654669,0.0016152769446110779,0.00020123975204959009,1.895620875824835e-05,3.9992001599680065e-08
21	3352082521	5000.0	0.0004	0.000248	0.006	0.545313	0.0020475504899020195,0.012665386922615478,0.03027626474705059,0.08548170365926815,0.13102223555288942,0.15916984603079384,0.14930413917216556,0.13305502899420116,0.11556576684663067,0.0698489902019596,0.04278332333533293,0.024270585882823437,0.015686702659468105,0.01540363927214557,0.009049110177964408,0.0031546490701859628,0.0008173965206958609,0.00035776844631073783,3.523295340931814e-05,4.679064187162567e-06
20	3211987025	5000.0	0.0004	0.000248	0.006	0.602501	0.0010839032193561287,0.0027579684063187364,0.005178324335132973,0.00959504099180164,0.012285222955408919,0.02775756848630274,0.048358088382323534,0.06833169366126775,0.0969743651269746,0.09799472105578884,0.08922731453709258,0.08501023795240951,0.08706450709858028,0.08687958408318336,0.0763260947810438,0.06780691861627675,0.04999324135172965,0.030750769846030795,0.025360847830433915,0.015275584883023396,0.00905374925014997,0.004029354129174165,0.0011294541091781643,0.0012649470105978804,0.00042235552889422113,7.334533093381324e-05,1.3757248550289942e-05,9.598080383923216e-07,7.998400319936013e-08
24	384757850	5000.0	0.0004	0.000248	0.006	0.420439	0.0022970605878824234,0.009266786642671465,0.029152049590081983,0.06068298340331934,0.09648210357928415,0.13582031593681262,0.14074841031793642,0.12286970605878825,0.12312725454909018,0.09619168166366726,0.06383695260947811,0.040968166366726656,0.02674369126174765,0.01866882623475305,0.014210717856428714,0.007836632673465307,0.006806838632273545,0.002984323135372925,0.0008590681863627275,0.0003051389722055589,0.00011409718056388722,2.435512897420516e-05,2.8394321135772845e-06
22	1005099097	5000.0	0.0004	0.000248	0.006	0.434547	0.004230833833233354,0.032420555888822235,0.06021815636872625,0.09457064587082584,0.13260555888822237,0.1362000399920016,0.1282627074585083,0.122949850029994,0.1006261947610478,0.07385734853029394,0.044037272545490905,0.030600239952009597,0.019307938412317538,0.009517656468706259,0.006097900419916017,0.0025154169166166766,0.0012059188162367527,0.0003175364927014597,0.00014601079784043192,4.0991801639672064e-05,0.00016644671065786843,9.794041191761647e-05,6.758648270345931e-06,7.998400319936013e-08
26	890851424	5000.0	0.0004	0.000248	0.006	0.404052	0.005705578884223155,0.04346002799440112,0.10658032393521295,0.13615824835032994,0.15035664867026594,0.12607918416316738,0.09976112777444511,0.08260279944011198,0.07375284943011398,0.05114921015796841,0.04380671865626875,0.030869346130773846,0.019138012397520495,0.008701699660067987,0.004785082983403319,0.007872985402919416,0.005042991401719656,0.0017561287742451509,0.0009417716456708658,0.0007656068786242752,0.0005614877024595082,0.00011625674865026994,2.1075784843031393e-05,1.4797040591881624e-05,3.9992001599680065e-08
