sim_id	seed	popsize	selcoef	sigma	mutrate	velocity	profile
1	2077997058	5000.0	0.004	0.00568	0.006	1.057313	0.0003723255348930214,0.0020177964407118577,0.011891621675664868,0.03802271545690862,0.08255540891821636,0.16145714857028595,0.23330289942011598,0.20918392321535692,0.13290237952409517,0.07571185762847431,0.03378268346330734,0.01250145970805839,0.00492625474905019,0.0011628074385122975,0.0001994401119776045,9.238152369526095e-06,3.9992001599680065e-08
14	1524865063	5000.0	0.004	0.00568	0.006	1.176774	0.00039032193561287743,0.0020211557688462308,0.00896108778244351,0.03023011397720456,0.08476816636672665,0.16925174965006998,0.24885690861827633,0.2304375924815037,0.13079372125574884,0.05394545090981804,0.021093501299740053,0.008687022595480903,0.004468066386722655,0.003437272545490902,0.002132613477304539,0.0005030993801239752,2.1715656868626276e-05,4.399120175964807e-07
5	2220361741	5000.0	0.004	0.00568	0.006	1.386749	0.00017160567886422714,0.004041551689662068,0.018191361727654468,0.04328222355528894,0.07891809638072385,0.1301002599480104,0.18842779444111177,0.20771109778044392,0.16650865826834632,0.1042498300339932,0.040942971405718856,0.012884023195360928,0.0036721855628874226,0.0007083783243351329,0.00015492901419716056,3.387322535492901e-05,1.159768046390722e-06
9	2469304348	5000.0	0.004	0.00568	0.006	1.528863	0.00034153169366126776,0.0021256548690261946,0.00907630473905219,0.029764207158568288,0.06185082983403319,0.09679404119176165,0.12826650669866027,0.12408986202759448,0.1286233553289342,0.143550849830034,0.1331890821835633,0.08428850229954009,0.037894421115776844,0.013533933213357328,0.004492181563687262,0.0016148370325934813,0.0003135372925414917,7.690461907618476e-05,9.750049990001999e-05,1.5916816636672664e-05,3.9992001599680065e-08
16	415436848	5000.0	0.004	0.00568	0.006	1.239441	0.00031437712457508496,0.003692261547690462,0.01950837832433513,0.05871849630073985,0.12205302939412117,0.18401887622475505,0.1975895220955809,0.16911945610877824,0.12924663067386521,0.07323323335332933,0.02795656868626275,0.010165486902619475,0.0036398320335932813,0.0006968606278744251,4.599080183963207e-05,9.998000399920016e-07
17	3377741879	5000.0	0.004	0.00568	0.006	1.403075	0.00029894021195760845,0.0023767246550689862,0.010569286142771446,0.04178112377524495,0.09544859028194361,0.17319444111177765,0.20674321135772847,0.18391697660467907,0.13049198160367925,0.08740427914417116,0.04673529294141172,0.015510617876424715,0.0041338932213557285,0.0012891021795640872,0.00010341931613677265,1.4397120575884822e-06,6.798640271945611e-07
6	1477388303	5000.0	0.004	0.00568	0.006	1.552513	1.815636872625475e-05,0.0005315736852629474,0.00477872425514897,0.023196200759848032,0.05851001799640072,0.1252627874425115,0.1961494901019796,0.20735164967006597,0.16401675664867027,0.11164887022595481,0.06457092581483703,0.028513417316536692,0.011080503899220155,0.0034252749450109977,0.0008295540891821635,0.00010701859628074385,9.078184363127375e-06
2	3730165769	5000.0	0.004	0.00568	0.006	1.258650	0.0002957808438312338,0.001730373925214957,0.006477464507098581,0.020899540091981604,0.05378192361527694,0.10884275144971006,0.1699100179964007,0.1879369326134773,0.15029002199560088,0.10849270145970806,0.08356520695860828,0.058663867226554686,0.032508258348330335,0.012191041791641672,0.003668586282743451,0.0006454709058188363,8.434313137372525e-05,1.1597680463907219e-05,4.119176164767047e-06
13	3702040609	5000.0	0.004	0.00568	0.006	1.478028	0.00039300139972005596,0.0030026794641071788,0.00870237952409518,0.021910337932413516,0.037921615676864626,0.0532121575684863,0.07049370125974805,0.10519796040791841,0.15184303139372127,0.16572997400519895,0.15649890021995602,0.1295396920615877,0.06443463307338532,0.023588162367526495,0.006349810037992402,0.0010424315136972606,0.0001331733653269346,6.3187362527494505e-06,3.9992001599680065e-08
11	1970638879	5000.0	0.004	0.00568	0.006	1.276161	5.050989802039592e-05,0.0006407118576284743,0.006243511297740452,0.024275024995001,0.05559396120775845,0.10914317136572685,0.1722128374325135,0.21263983203359327,0.18847918416316736,0.12641607678464306,0.06826954609078184,0.026854509098180365,0.006956928614277144,0.00200499900019996,0.00017784443111377725,3.9152169566086785e-05,2.1995600879824035e-06
