sim_id	seed	popsize	selcoef	sigma	mutrate	velocity	profile
4	3040616458	5000.0	0.004	0.004	0.006	0.651936	4.0631873625274944e-05,0.0025210557888422315,0.021117936412717458,0.07074565086982604,0.17674365126974606,0.2922347530493901,0.24268862227554489,0.1288003599280144,0.047084743051389724,0.014030953809238153,0.0033334533093381325,0.0005200559888022396,0.00013473305338932212,2.8394321135772845e-06,5.598880223955209e-07
19	2006892600	5000.0	0.004	0.004	0.006	0.940457	0.0009380923815236953,0.007541931613677264,0.0282001599680064,0.06256984603079384,0.10378392321535693,0.13909670065986804,0.16127182563487302,0.18008362327534494,0.1463884823035393,0.09719460107978405,0.04826398720255949,0.01858148370325935,0.005008358328334333,0.0009484103179364127,0.00012033593281343731,7.798440311937612e-06,4.399120175964807e-07
2	539875335	5000.0	0.004	0.004	0.006	0.538406	0.0019861627674465105,0.008342531493701259,0.03696384723055389,0.08273509298140372,0.18028998200359928,0.2587533293341332,0.2026014797040592,0.11763619276144771,0.06120639872025595,0.025709458108378325,0.012075824835032993,0.007575124975004999,0.002734853029394121,0.0009625674865026995,0.0003813637272545491,4.1991601679664064e-05,3.7992401519696063e-06
17	3345479731	5000.0	0.004	0.004	0.006	0.603889	0.002058548290341932,0.017383363327334533,0.05689590081983603,0.11589650069986003,0.19248906218756248,0.2381006598680264,0.17863227354529093,0.10218824235152969,0.05435528894221156,0.024449070185962807,0.00914641071785643,0.005181683663267347,0.002113017396520696,0.0008253549290141972,0.000249630073985203,2.9714057188562287e-05,5.238952209558089e-06,3.9992001599680065e-08
3	4113065994	5000.0	0.004	0.004	0.006	0.732303	0.0013472905418916218,0.004687062587482503,0.01032613477304539,0.03339872025594881,0.08045538892221556,0.1498506698660268,0.2089142571485703,0.21559168166366727,0.14584259148170367,0.08331165766846631,0.03965858828234353,0.018159888022395522,0.0065219356128774246,0.001376884623075385,0.00048538292341531694,6.946610677864426e-05,2.399520095980804e-06
8	23226402	5000.0	0.004	0.004	0.006	0.584824	0.001878864227154569,0.009704259148170366,0.009973605278944211,0.011070625874825034,0.035641911617676464,0.12137176564687062,0.2521508098380324,0.25605742851429714,0.17155924815036994,0.08610685862827434,0.031890821835632875,0.007934613077384522,0.003668386322735453,0.0007825634873025395,0.00017868426314737054,1.0797840431913617e-05,1.3197360527894422e-05,5.558888222355529e-06
14	161323056	5000.0	0.004	0.004	0.006	0.699233	0.0014607078584283144,0.012035472905418915,0.03600107978404319,0.07850689862027595,0.16376120775844832,0.23641483703259347,0.2132860627874425,0.13611797640471907,0.07607218556288742,0.028052829434113177,0.011890101979604079,0.003247030593881224,0.0018529894021195761,0.0010036792641471707,0.00025614877024595083,4.0231953609278146e-05,5.598880223955209e-07
1	3326121985	5000.0	0.004	0.004	0.006	0.755868	0.001971605678864227,0.016554569086182764,0.05103151369726055,0.09241679664067187,0.14074385122975405,0.15954117176564686,0.14611457708458309,0.14535684863027395,0.11927154569086183,0.07401995600879824,0.03669482103579284,0.0126248350329934,0.0030938212357528496,0.0005212957408518296,4.2511497700459906e-05,2.7994401119776043e-07
16	3695069233	5000.0	0.004	0.004	0.006	0.477303	0.0024174365126974607,0.01900519896020796,0.10147826434713057,0.21954301139772045,0.26559848030393923,0.20140331933613279,0.11745778844231154,0.04774517096580684,0.017877784443111378,0.005588882223555289,0.0014345930813837232,0.0004319536092781444,1.807638472305539e-05,3.9992001599680065e-08
10	92385316	5000.0	0.004	0.004	0.006	0.692189	0.001982003599280144,0.01746486702659468,0.055226194761047794,0.13179104179164167,0.19154617076584682,0.19533377324535092,0.184227474505099,0.12674225154969007,0.0632997400519896,0.020909378124375124,0.006516896620675865,0.003780643871225755,0.0010141971605678863,0.0001434113177364527,2.0555888822235554e-05,1.3997200559888023e-06
