sim_id	seed	popsize	selcoef	mutrate	velocity	profile
9	2832427038	5000.0	0.000155	0.006	0.877861	0.00022139572085582882,0.0013021395720855828,0.005178524295140972,0.014641111777644471,0.029410597880423914,0.057782803439312136,0.10086746650669866,0.12954693061387723,0.1449254549090182,0.14229766046790643,0.11778496300739852,0.09420519896020796,0.07221527694461108,0.03843619276144771,0.020856508698260348,0.0117873625274945,0.007808558288342332,0.0056688262347530495,0.0030108378324335133,0.0015168566286742652,0.0005007398520295941,3.443311337732454e-05,1.5996800639872026e-07
11	2411216934	5000.0	0.000155	0.006	0.629908	0.0015954409118176364,0.013650469906018797,0.043153849230153966,0.08857844431113777,0.11278284343131374,0.13061631673665267,0.14310905818836234,0.13455828834233152,0.11079100179964008,0.07456392721455708,0.05168650269946011,0.03632045590881824,0.02785622875424915,0.016307018596280743,0.007210517896420716,0.00440495900819836,0.0016319536092781444,0.0005689662067586482,0.0003941611677664467,0.00017196560687862428,4.1431713657268545e-05,6.19876024795041e-06
1	2303258631	5000.0	0.000155	0.006	0.454502	0.0012401919616076785,0.004645310937812438,0.016933173365326935,0.02506638672265547,0.0399628874225155,0.07599800039992001,0.0924745050989802,0.10669682063587282,0.10460567886422716,0.10040811837632474,0.08612989402119577,0.06285782843431313,0.04576868626274745,0.04552445510897821,0.04048038392321536,0.02820763847230554,0.018969486102779445,0.014924735052989403,0.02193361327734453,0.022922735452909418,0.021259828034393122,0.011599120175964806,0.006329174165166967,0.0036167966406718656,0.0012479104179164166,0.00016616676664667066,2.7834433113377324e-05,2.359528094381124e-06,1.5996800639872026e-07,1.199760047990402e-07
2	3029344264	5000.0	0.000155	0.006	0.884575	0.0004186362727454509,0.006711457708458308,0.02509842031593681,0.05347974405118976,0.08590793841231753,0.09899560087982404,0.10956848630273945,0.11402847430513897,0.11266778644271146,0.12745822835432913,0.10835244951009798,0.07126954609078184,0.037748530293941214,0.014684543091381723,0.007250909818036393,0.002738372325534893,0.003335372925414917,0.007521735652869426,0.007865706858628274,0.003512137572485503,0.0009587282543491301,0.00032845430913817236,9.306138772245551e-05,5.398920215956809e-06,2.7994401119776043e-07
6	1622581269	5000.0	0.000155	0.006	0.784708	0.001327774445110978,0.0072959008198360325,0.021448910217956408,0.04886070785842832,0.08077028594281144,0.09081351729654069,0.12979904019196162,0.15123987202559488,0.13461411717656468,0.10662043591281743,0.08091397720455909,0.05008434313137373,0.03374457108578284,0.022715416916616677,0.0174626674665067,0.00999492101579684,0.006433913217356529,0.0020062787442511497,0.0012743451309738052,0.0015923215356928614,0.0002262747450509898,0.00016236752649470107,0.0003991601679664067,0.0001767246550689862,2.1675664867026596e-05,4.799040191961608e-07
7	1808150550	5000.0	0.000155	0.006	0.687316	0.0018240751849630075,0.0012241951609678065,0.005501459708058388,0.021303019396120774,0.047886942611477704,0.06118456308738252,0.08232333533293341,0.10067782443511297,0.10053949210157968,0.1049504099180164,0.11078656268746251,0.09906510697860428,0.07721555688862228,0.0627250949810038,0.04240531893621276,0.031034713057388523,0.018408198360327935,0.015865626874625074,0.009727814437112578,0.0037635672865426913,0.0013767646470705859,0.00018944211157768446,2.0555888822235554e-05,1.5996800639872026e-07,1.9996000799840033e-07
8	683835417	5000.0	0.000155	0.006	0.525795	0.002557728454309138,0.00507378524295141,0.015277944411117777,0.03236576684663067,0.03885046990601879,0.04829414117176565,0.0889636872625475,0.12743415316936613,0.1056615876824635,0.09592637472505498,0.08186914617076585,0.06622835432913417,0.043067226554689066,0.04165322935412918,0.030843631273745252,0.03268254349130174,0.023770645870825835,0.02393497300539892,0.022610037992401518,0.021600759848030393,0.013551009798040392,0.012950209958008399,0.010096020795840831,0.005901459708058388,0.004857828434313137,0.0023529294141171764,0.0010373925214957008,0.00025786842631473706,0.00027654469106178764,5.1989602079584085e-05,5.598880223955209e-07
12	1989195815	5000.0	0.000155	0.006	0.611387	0.001207118576284743,0.011733373325334933,0.026519096180763847,0.044782563487302536,0.059841391721655667,0.08312977404519097,0.11847190561887623,0.1320504299140172,0.11379476104779045,0.0868370725854829,0.07041035792841431,0.060030593881223754,0.0563497300539892,0.047003839232153566,0.03540355928814237,0.024096100779844032,0.015428074385122975,0.007115136972605479,0.0038964207158568285,0.0012421515696860628,0.00042435512897420513,0.00020711857628474305,2.42751449710058e-05,7.998400319936013e-07
18	1149458498	5000.0	0.000155	0.006	0.630971	0.00041179764047190564,0.001959008198360328,0.012061067786442711,0.038185322935412915,0.09033569286142772,0.12719516096780645,0.12162683463307339,0.09984739052189562,0.08551785642871426,0.0763364927014597,0.06619032193561288,0.07784175164967007,0.07453261347730454,0.05404207158568286,0.03340199960007999,0.016683463307338532,0.010824515096980604,0.005706458708258348,0.002666506698660268,0.0020996600679864027,0.0016555888822235552,0.0006731053789242152,0.00017828434313137373,2.619476104779044e-05,8.398320335932813e-07
3	1382455312	5000.0	0.000155	0.006	0.830429	0.0018509498100379924,0.003960807838432313,0.011166686662667466,0.016676504699060186,0.038924055188962206,0.06968054389122176,0.103024675064987,0.11729894021195761,0.1336852629474105,0.1348104379124175,0.11924143171365727,0.08855740851829634,0.07043235352929414,0.04210861827634473,0.02411337732453509,0.012473145370925814,0.007342051589682063,0.0030760647870425916,0.001039112177564487,0.0004829034193161368,5.402919416116777e-05,6.39872025594881e-07
