sim_id	seed	popsize	selcoef	mutrate	velocity	profile
3	577269783	5000.0	0.001	0.0105	0.280744	0.0010051189762047591,0.01668238352329534,0.045500539892021595,0.08289790041991602,0.11686858628274345,0.13094801039792042,0.14275708858228353,0.13691657668466306,0.11853281343731253,0.08539892021595681,0.05198592281543691,0.030375564887022595,0.019473465306938612,0.010299860027994401,0.00516496700659868,0.002470225954809038,0.001400999800039992,0.0007644071185762848,0.00015876824635072985,0.00021831633673265348,0.00012145570885822835,4.587082583483303e-05,1.1877624475104978e-05,3.5992801439712056e-07
5	571797537	5000.0	0.001	0.0105	0.305247	0.0066592281543691265,0.03683995200959808,0.06894205158968206,0.10725314937012598,0.1485251349730054,0.15906270745850828,0.1439234953009398,0.11156484703059388,0.07871753649270145,0.05496752649470106,0.03539536092781444,0.0207749650069986,0.012740651869626075,0.008130933813237352,0.003908098380323935,0.0014111977604479105,0.0007518896220755849,0.00032705458908218355,0.00010045990801839632,3.759248150369926e-06
14	2335488068	5000.0	0.001	0.0105	0.366531	0.0013408918216356728,0.011869746050789842,0.03891553689262148,0.07783487302539492,0.09759836032793441,0.12872217556488702,0.14394569086182762,0.13777052589482103,0.11584719056188762,0.08819132173565288,0.06473021395720856,0.04345942811437713,0.024732893421315738,0.013141051789642071,0.005562767446510698,0.0029309338132373526,0.0015462107578484304,0.0008917416516696661,0.00039344131173765247,0.00038032393521295743,0.00015592881423715256,3.4633073385322936e-05,4.119176164767047e-06
2	1321027597	5000.0	0.001	0.0105	0.371014	0.0017922015596880624,0.01922759448110378,0.05907746450709858,0.10415464907018596,0.1287370125974805,0.1345882423515297,0.13999020195960807,0.12234821035792841,0.10283271345730854,0.07393109378124375,0.04650585882823435,0.028723935212957408,0.017547050589882023,0.009081503699260147,0.005982763447310538,0.0034649470105978806,0.001264747050589882,0.0005993201359728055,0.00010293941211757649,1.6116776644671066e-05,3.063387322535493e-05,7.998400319936013e-07
4	3051356183	5000.0	0.001	0.0105	0.107792	0.0003680863827234553,0.012823835232953409,0.02710877824435113,0.05095732853429314,0.08689294141171766,0.11421491701659668,0.12980255948810238,0.12773241351729653,0.11189530093981204,0.09713853229354129,0.07584519096180764,0.061740131973605276,0.041503539292141574,0.028685062987402518,0.01711993601279744,0.008411757648470306,0.0046106378724255145,0.001884143171365727,0.0007680063987202559,0.00020351929614077186,6.910617876424715e-05,0.00019872025594881024,2.50749850029994e-05,4.799040191961608e-07
17	431718484	5000.0	0.001	0.0105	0.320979	0.00166126774645071,0.008944811037792441,0.024975604879024196,0.056898180363927214,0.11010189962007598,0.14165678864227155,0.14769090181963607,0.13004479104179165,0.11698020395920816,0.09060695860827835,0.06328214357128574,0.0406619476104779,0.028483463307338534,0.01695520895820836,0.011092981403719256,0.00591877624475105,0.0023229354129174163,0.0011815636872625475,0.00029902019596080785,0.00014801039792041592,8.462307538492301e-05,7.918416316736653e-06
8	2130067501	5000.0	0.001	0.0105	0.200822	0.003923615276944611,0.018399840031993603,0.043366206758648274,0.08315072985402919,0.10352281543691262,0.10939208158368326,0.12385966806638672,0.124824475104979,0.11370561887622475,0.09134217156568686,0.07284863027394521,0.04563015396920616,0.028034393121375723,0.018281023795240953,0.010013077384523096,0.005119016196760648,0.0025593281343731255,0.0010054789042191561,0.0005094581083783243,0.0002009598080383923,0.00021251749650069986,7.898420315936813e-05,1.7636472705458908e-05,2.1195760847830435e-06
11	2244948018	5000.0	0.001	0.0105	0.451846	0.0012704259148170365,0.010246070785842831,0.04702363527294541,0.09724015196960607,0.13444251149770045,0.1462004399120176,0.1464260347930414,0.13445222955408917,0.10859464107178564,0.07410961807638472,0.046033433313337334,0.026238152369526094,0.01339120175964807,0.007339492101579684,0.003825394921015797,0.001965846830633873,0.0007354529094181164,0.0003506498700259948,9.53009398120376e-05,1.739652069586083e-05,1.919616076784643e-06
6	2663125030	5000.0	0.001	0.0105	0.252322	0.001723135372925415,0.012348050389922016,0.032673385322935414,0.06818996200759848,0.0977732853429314,0.13032161567686462,0.13638400319936012,0.14097176564687064,0.11741459708058388,0.09293041391721656,0.06949206158768247,0.04386758648270346,0.02679140171965607,0.01579608078384323,0.007620595880823835,0.0030683063387322534,0.001953209358128374,0.0005390921815636873,0.00012369526094781043,1.4397120575884824e-05,3.359328134373125e-06
7	1428885545	5000.0	0.001	0.0105	0.336425	0.0016229954009198161,0.011035432913417317,0.03382267546490702,0.06764191161767646,0.10761359728054389,0.14110101979604078,0.15375404919016197,0.13635564887022594,0.10813325334933013,0.08795948810237952,0.059628194361127776,0.03903163367326535,0.02354609078184363,0.012470265946810638,0.008410517896420716,0.003912097580483903,0.002057748450309938,0.0010950209958008397,0.0003665266946610678,0.0001871625674865027,0.0002256748650269946,2.7354529094181163e-05,1.6396720655868826e-06
