sim_id	seed	popsize	selcoef	mutrate	velocity	profile
3	1098706948	5000.0	0.001	0.0146	0.345990	0.0015018196360727855,0.015415636872625475,0.0425130973805239,0.07395176964607078,0.10580927814437112,0.12321191761647671,0.1263512097580484,0.12004815036992601,0.10982159568086383,0.08595816836632673,0.06375508898220356,0.04700879824035193,0.031380763847230556,0.019618916216756647,0.01433485302939412,0.00982739452109578,0.005036712657468506,0.002349730053989202,0.0010254749050189961,0.0003811637672465507,0.00019172165566886624,9.538092381523695e-05,0.00021939612077584482,0.0001358528294341132,5.4349130173965205e-05,1.6796640671865626e-06,7.998400319936013e-08
12	437280803	5000.0	0.001	0.0146	0.349503	0.000666746650669866,0.006041031793641272,0.02244407118576285,0.052070625874825034,0.07852681463707259,0.09846382723455309,0.10255428914217156,0.11078028394321136,0.11402147570485903,0.10552757448510298,0.09328498300339932,0.07546946610677864,0.054074625074985005,0.035159128174365124,0.022868186362727454,0.013267106578684263,0.007595240951809638,0.003360967806438712,0.0017668466306738652,0.0010819436112777445,0.0006253549290141971,0.00025550889822035594,7.72245550889822e-05,1.247750449910018e-05,3.7992401519696063e-06,3.9992001599680065e-07
17	1036605490	5000.0	0.001	0.0146	0.421975	0.0017724455108978205,0.01495632873425315,0.03852109578084383,0.07434157168566287,0.11319396120775845,0.13328358328334333,0.131724175164967,0.11854553089382124,0.09902015596880624,0.08235444911017796,0.06537760447910418,0.047074345130973805,0.03158848230353929,0.019689222155568887,0.011914777044591082,0.007702619476104779,0.0037665666866626675,0.002666746650669866,0.0012901419716056788,0.0006117976404719056,0.0003189762047590482,0.0001862027594481104,7.434513097380524e-05,2.1475704859028193e-05,3.279344131173765e-06,1.199760047990402e-07
5	173801486	5000.0	0.001	0.0146	0.231141	0.0004320735852829434,0.001483863227354529,0.0077764047190561885,0.013708978204359129,0.028841111777644472,0.0556373125374925,0.0768860227954409,0.09209006198760247,0.10774141171765647,0.11165246950609878,0.11369074185162967,0.10031141771645671,0.07833125374925015,0.060526534693061386,0.04700487902419516,0.037737732453509296,0.024696020795840833,0.01650385922815437,0.010252069586082784,0.0069375324935012994,0.0042057588482303536,0.0019307738452309538,0.0010237152569486103,0.000480623875224955,9.638072385522895e-05,2.0915816836632675e-05,7.998400319936013e-08
18	3806974003	5000.0	0.001	0.0146	0.334423	0.0004892621475704859,0.003181003799240152,0.008362807438512298,0.022572325534893023,0.0469499300139972,0.0691117376524695,0.09747346530693861,0.11566010797840431,0.12346118776244751,0.12514561087782444,0.10996972605478904,0.08958588282343531,0.06564699060187962,0.04381115776844631,0.030797040591881625,0.020195600879824034,0.011124535092981403,0.007711137772445511,0.00457248550289942,0.00216124775044991,0.0008241151769646071,0.0004479504099180164,0.0005267346530693862,0.0001867226554689062,2.583483303339332e-05,5.358928214357128e-06,3.9992001599680065e-08
9	995819550	5000.0	0.001	0.0146	0.345444	0.0009696060787842432,0.009410677864427114,0.029326134773045392,0.06094729054189162,0.09375368926214757,0.11064207158568286,0.1242241951609678,0.12387818436312738,0.11447150569886023,0.10188126374725055,0.07855728854229155,0.05674777044591082,0.03983051389722055,0.024780443911217757,0.014515976804639072,0.007874785042991403,0.004793241351729654,0.001806118776244751,0.0009893221355728853,0.00041555688862227557,0.00014289142171565686,3.875224955008998e-05,2.599480103979204e-06,1.199760047990402e-07
6	1577676823	5000.0	0.001	0.0146	0.398813	0.00030761847630473904,0.004186762647470506,0.023334573085382924,0.05795760847830434,0.09833173365326935,0.13298228354329134,0.14556176764647072,0.13289078184363126,0.11510309938012397,0.0885262547490502,0.0672014397120576,0.0505373725254949,0.03357776444711058,0.020373325334933013,0.011681823635272946,0.007026714657068586,0.004121575684863027,0.002555128974205159,0.0020825834833033395,0.0010195560887822435,0.000441751649670066,0.00014169166166766645,5.2989402119576085e-05,3.719256148770246e-06,7.998400319936013e-08
8	563533853	5000.0	0.001	0.0146	0.393831	0.0029250149970006,0.016479904019196162,0.04702255548890222,0.08246862627474505,0.11305754849030195,0.12413377324535092,0.12161319736052789,0.11499080183963208,0.10077260547890422,0.08344459108178365,0.06361955608878224,0.048296780643871225,0.03418276344731054,0.0218751449710058,0.011975764847030593,0.006321415716856628,0.0033460907818436314,0.0014411517696460707,0.0007081383723255349,0.0004752649470105979,0.00035320935812837434,0.0003152569486102779,0.00015780843831233752,1.1477704459108178e-05,1.1317736452709458e-05,2.399520095980804e-07
19	1783375931	5000.0	0.001	0.0146	0.414294	0.0012825834833033393,0.0049864427114577085,0.012746930613877225,0.03162063587282544,0.06340759848030394,0.10162307538492302,0.11394789042191562,0.11104519096180764,0.1136878224355129,0.1087378524295141,0.09525582883423316,0.07489630073985203,0.05528418316336733,0.040544691061787645,0.025044551089782045,0.016254229154169166,0.010772645470905819,0.007823515296940612,0.004801559688062388,0.002962247550489902,0.0017362927414517097,0.0009200559888022395,0.0003957608478304339,0.00013229354129174164,7.998400319936013e-05,9.318136372725454e-06,5.198960207958409e-07
13	3707410468	5000.0	0.001	0.0146	0.385336	0.0002445110977804439,0.0010610277944411118,0.00436124775044991,0.017763127374525095,0.041292341531693665,0.07868170365926815,0.11129246150769846,0.11906586682663467,0.12448234353129374,0.1178487902419516,0.10525414917016597,0.08525870825834833,0.06649154169166167,0.04821015796840632,0.031819916016796644,0.02034745050989802,0.012405838832233554,0.0066449510097980405,0.0038594681063787244,0.002235592881423715,0.0008291541691661668,0.00038308338332333536,0.00010477904419116176,2.6834633073385324e-05,6.838632273545291e-06,2.6994601079784043e-05,1.0397920415916818e-06,7.998400319936013e-08
1	2060048385	5000.0	0.001	0.0146	0.270802	0.0005952009598080384,0.0022939812037592482,0.007616836632673465,0.025810797840431915,0.05465586882623475,0.07434521095780844,0.08621755648870226,0.09694653069386122,0.11564287142571486,0.10826090781843631,0.09843007398520295,0.08624615076984603,0.07053585282943411,0.05320091981603679,0.042726374725054986,0.031288222355528895,0.0204249150169966,0.010937772445510897,0.005842311537692462,0.0041374925014997,0.0021234553089382125,0.001218876224755049,0.00031437712457508496,9.506098780243951e-05,6.634673065386923e-05,2.1515696860627874e-05,4.519096180763847e-06
11	1257637917	5000.0	0.001	0.0146	0.326531	0.0005358528294341132,0.004044271145770846,0.01912121575684863,0.04632637472505499,0.07502059588082384,0.10389134173165367,0.12681091781643672,0.13131745650869825,0.12171749650069986,0.10849266146770646,0.0834617076584683,0.062107898420315936,0.045177124575084986,0.030500659868026393,0.018429234153169365,0.01053117376524695,0.005819916016796641,0.0035029394121175767,0.0018041991601679664,0.0009645270945810838,0.00028590281943611276,7.558488302339532e-05,4.971005798840232e-05,1.0557888422315537e-05,5.198960207958409e-07,1.5996800639872026e-07
15	4121337894	5000.0	0.001	0.0146	0.398343	0.00020995800839832034,0.0015440111977604479,0.005360527894421116,0.0224249550089982,0.05413993201359728,0.0819126174765047,0.10900763847230555,0.13063995200959808,0.13517940411917617,0.12400263947210557,0.10611901619676065,0.08352897420515897,0.05898940211957608,0.04077376524695061,0.023122215556888624,0.012458828234353129,0.005682023595280944,0.0028541491701659667,0.0013484103179364126,0.00045926814637072585,0.00011305738852229554,7.490501899620076e-05,2.9074185162967407e-05,2.3835232953409317e-05,1.4397120575884822e-06
0	127457281	5000.0	0.001	0.0146	0.424566	0.002079744051189762,0.021189162167566486,0.056526694661067786,0.09112333533293342,0.12062219556088782,0.13886002799440111,0.13498544291141773,0.11635280943811238,0.09788970205958808,0.06994833033393322,0.05199584083183363,0.038140331933613277,0.02501383723255349,0.015850309938012397,0.009078864227154568,0.0052953409318136375,0.002627394521095781,0.0011355328934213157,0.0006770245950809838,0.00017824435112977406,0.0002260747850429914,0.00011893621275744851,7.6624675064987e-05,8.198360327934413e-06
16	3541190705	5000.0	0.001	0.0146	0.295189	0.001683503299340132,0.01227986402719456,0.041810437912417515,0.07217096580683863,0.09575164967006598,0.11110749850029994,0.12325950809838032,0.12268494301139772,0.11383067386522695,0.09118136372725455,0.07490205958808238,0.054684423115376926,0.03570649870025995,0.022870665866826633,0.012365686862627474,0.007068946210757848,0.0036050789842031594,0.0015150569886022796,0.0008182763447310538,0.0004087982403519296,0.00018828234353129375,9.546090781843631e-05,1.0077984403119377e-05,2.7994401119776043e-07
10	2252181534	5000.0	0.001	0.0146	0.287524	0.0006670665866826635,0.0030118376324735053,0.010155888822235552,0.025168446310737853,0.04547702459508098,0.07708994201159768,0.10827430513897221,0.11690409918016396,0.12225638872225555,0.11283875224955009,0.1046000799840032,0.08602247550489903,0.0631738052389522,0.04262683463307339,0.030085982803439312,0.020359888022395523,0.013792921415716856,0.007254789042191562,0.00428250349930014,0.002739012197560488,0.0018330333933213358,0.0006910217956408719,0.0003974405118976205,0.0001948010397920416,8.614277144571086e-05,1.0957808438312337e-05,4.519096180763847e-06,3.9992001599680065e-08
14	3572267045	5000.0	0.001	0.0146	0.392607	0.0005499300139972005,0.004252829434113177,0.013146930613877224,0.031069746050789843,0.05961591681663667,0.09507290541891622,0.12230897820435913,0.13564071185762847,0.13661127774445112,0.11894233153369325,0.09038640271945611,0.07027386522695461,0.047837992401519695,0.03211033793241352,0.01961747650469906,0.011746050789842031,0.006134853029394121,0.002863267346530694,0.0013280943811237753,0.0003416916616676665,0.00012621475704859027,2.1355728854229156e-05,7.198560287942411e-07,1.199760047990402e-07
2	1001144323	5000.0	0.001	0.0146	0.353741	0.0011205758848230353,0.01463115376924615,0.04673861227754449,0.07486150769846031,0.10438136372725455,0.12405714857028595,0.12762243551289743,0.11835808838232353,0.10663023395320936,0.08439556088782244,0.06835524895020996,0.05077580483903219,0.0340253149370126,0.019856468706258748,0.011663067386522695,0.006509218156368726,0.0031390921815636873,0.0014988202359528095,0.0007954809038192361,0.00043559288142371527,0.0001270145970805839,2.0915816836632675e-05,1.279744051189762e-06
4	23015435	5000.0	0.001	0.0146	0.325013	0.0013896420715856829,0.008989802039592081,0.026741611677664468,0.053656388722255546,0.08717144571085783,0.1113493701259748,0.12139644071185762,0.12232029594081184,0.11479092181563687,0.09904431113777244,0.08150557888422316,0.061500139972005596,0.042289222155568885,0.02749614077184563,0.018661987602479505,0.009830633873225355,0.005064347130573885,0.0032675464907018594,0.0018623475304939013,0.0010923015396920616,0.0005007798440311938,7.106578684263147e-05,7.678464307138573e-06
7	216076313	5000.0	0.001	0.0146	0.472973	0.000625114977004599,0.00444259148170366,0.02200227954409118,0.053134293141371726,0.0815381323735253,0.11349774045190962,0.12716560687862427,0.12884283143371325,0.11939404119176165,0.10323159368126375,0.0827248550289942,0.05977104579084183,0.04277148570285943,0.02559892021595681,0.015910777844431113,0.009615396920615877,0.0045309738052389525,0.0029167366526694663,0.001291741651669666,0.0006461507698460307,0.00023715256948610277,8.410317936412718e-05,2.6034793041391723e-05,3.9992001599680065e-07
20	923957310	5000.0	0.001	0.0146	0.315976	0.001581003799240152,0.010060267946410718,0.02832253549290142,0.05961847630473905,0.09382939412117576,0.11234637072585484,0.11938024395120976,0.11649926014797041,0.10718612277544491,0.09500047990401919,0.07414753049390121,0.05521595680863827,0.041376604679064184,0.030120815836832633,0.02081595680863827,0.014789682063587283,0.008448270345930814,0.0056001599680063985,0.0033530493901219754,0.0013040191961607678,0.0006443911217756449,0.0002455908818236353,8.74625074985003e-05,2.331533693261348e-05,2.999400119976005e-06,3.9992001599680065e-08
