sim_id	seed	popsize	selcoef	mutrate	velocity	profile
2	3203355670	5000.0	0.0034	0.006	0.058010	0.13017712457508498,0.30573001399720057,0.26505274945011,0.17721763647270547,0.08200827834433114,0.028553369326134774,0.00858504299140172,0.001842871425714857,0.000716376724655069,0.0001129374125174965,3.5592881423715255e-06,3.9992001599680065e-08
0	1348642822	5000.0	0.0034	0.006	0.032767	0.15898108378324335,0.2720493101379724,0.26880679864027196,0.1700642271545691,0.08563067386522695,0.03038128374325135,0.010631953609278145,0.0026773045390921816,0.0007336132773445311,4.359128174365127e-05,1.5996800639872026e-07
4	1524075047	5000.0	0.0034	0.006	0.002660	0.18758416316736654,0.2826075984803039,0.2637840831833633,0.15548298340331934,0.06757912417516497,0.029795680863827233,0.008607038592281544,0.003549330133973205,0.0008989802039592082,0.00010525894821035793,5.678864227154569e-06,7.998400319936013e-08
6	197028403	5000.0	0.0034	0.006	0.025246	0.15875900819836034,0.2802141571685663,0.274771725654869,0.17166638672265547,0.0746998200359928,0.02755756848630274,0.009350729854029195,0.0023488102379524097,0.0005875224955008998,4.283143371325735e-05,1.4397120575884822e-06
3	1759926310	5000.0	0.0034	0.006	0.046257	0.0755871225754849,0.2546743851229754,0.28662991401719656,0.21153969206158768,0.10715108978204359,0.04305242951409718,0.015737852429514098,0.004540411917616477,0.0009620075984803039,0.00012253549290141972,2.279544091181764e-06,2.7994401119776043e-07
1	2530623510	5000.0	0.0034	0.006	0.020478	0.11202643471305739,0.24570493901219756,0.26995124975004997,0.20028282343531295,0.10817780443911218,0.041937052589482104,0.0159752049590082,0.004450229954009198,0.001234873025394921,0.0002009598080383923,5.5788842231553687e-05,2.639472105578884e-06
15	586324585	5000.0	0.0034	0.006	0.013836	0.15453113377324534,0.30707714457108576,0.2694214357128574,0.16005706858628274,0.0709993601279744,0.02675092981403719,0.008560487902419516,0.001794001199760048,0.0005317336532693461,0.000260747850429914,1.5876824635072987e-05,7.998400319936013e-08
17	807349871	5000.0	0.0034	0.006	-0.000602	0.10539188162367527,0.28695488902219557,0.27081123775244953,0.1873885622875425,0.0969001399720056,0.03750789842031594,0.010540931813637272,0.0036627074585082985,0.0004921415716856629,8.066386722655468e-05,0.00023695260947810437,2.8874225154969005e-05,3.119376124775045e-06
10	925471306	5000.0	0.0034	0.006	0.070317	0.05430661867626475,0.22499568086382724,0.302200199960008,0.22173237352529493,0.1261746050789842,0.04817864427114577,0.016485302939412118,0.004619156168766247,0.0007577284543091382,0.00041911617676464706,0.00012425514897020597,5.838832233553289e-06,4.799040191961608e-07
5	2199163948	5000.0	0.0034	0.006	-0.001782	0.18186030793841232,0.3024176364727055,0.26068250349930017,0.15770941811637673,0.06605502899420115,0.023726054789042193,0.005370605878824235,0.0015650469906018797,0.0004529894021195761,0.00015816836632673466,2.2395520895820834e-06
7	400037429	5000.0	0.0034	0.006	0.033811	0.11589410117976405,0.28066494701059785,0.27464363127374525,0.18482843431313736,0.08978012397520496,0.037167126574685065,0.012360807838432313,0.003496380723855229,0.0007995600879824035,0.00027322535492901417,6.566686662667467e-05,8.158368326334732e-06,1.743651269746051e-05,3.9992001599680065e-07
18	2178338420	5000.0	0.0034	0.006	0.046553	0.14523203359328135,0.272699900019996,0.28500027994401117,0.17478396320735853,0.07633281343731253,0.03128926214757049,0.010294261147770446,0.002618876224755049,0.0014074385122975405,0.00033085382923415317,1.0157968406318736e-05,1.5996800639872026e-07
11	845716563	5000.0	0.0034	0.006	0.001403	0.16752137572485504,0.2988447910417916,0.276330573885223,0.15448166366726654,0.07101551689662068,0.023671625674865027,0.006581123775244951,0.001352129574085183,0.0001923615276944611,5.958808238352329e-06,2.8794241151769645e-06
16	1454780523	5000.0	0.0034	0.006	0.101267	0.030870785842831434,0.20740559888022395,0.27943491301739654,0.24867098580283944,0.13702099580083985,0.061960487902419516,0.024420235952809437,0.00829858028394321,0.0016307938412317537,0.00027326534693061387,1.3317336532693461e-05,3.9992001599680065e-08
9	134601289	5000.0	0.0034	0.006	-0.008734	0.18926638672265547,0.2982533893221356,0.26080391921615675,0.15371805638872227,0.06747698460307938,0.02170885822835433,0.007042031593681264,0.0015749250149970006,0.0001400519896020796,1.5396920615876825e-05
12	1780615254	5000.0	0.0034	0.006	-0.010331	0.1680642671465707,0.3000101979604079,0.271751849630074,0.161974125174965,0.06805942811437712,0.02278504299140172,0.005588162367526494,0.0011526894621075785,0.0003773245350929814,0.0001388522295540892,1.4157168566286743e-05,8.150369926014798e-05,2.399520095980804e-06
13	1702584920	5000.0	0.0034	0.006	0.064436	0.09697680463907218,0.27329506098780243,0.2891120575884823,0.19085518896220754,0.09352733453309338,0.03739484103179364,0.012652989402119575,0.00456868626274745,0.0013338132373525294,0.00025710857828434313,2.499500099980004e-05,1.1197760447910417e-06
14	1551736921	5000.0	0.0034	0.006	0.094466	0.0609628074385123,0.26046754649070186,0.2964612277544491,0.2140100779844031,0.11198624275144971,0.04120771845630874,0.010828994201159767,0.0031558088382323537,0.0008092781443711258,9.294141171765647e-05,3.759248150369926e-06,7.838432313537292e-06,5.318936212757449e-06,4.399120175964807e-07
19	1579158135	5000.0	0.0034	0.006	-0.005315	0.14082339532093582,0.2713598480303939,0.27152073585282943,0.18089706058788244,0.09210537892421515,0.031114457108578283,0.00968126374725055,0.0021520895820835834,0.0003266146770645871,1.3037392521495702e-05,6.038792241551689e-06,7.998400319936013e-08
8	3299398200	5000.0	0.0034	0.006	-0.008192	0.20727894421115778,0.30510357928414317,0.2496525894821036,0.14218136372725454,0.06465582883423315,0.024156808638272347,0.005608798240351929,0.0011795240951809637,0.00017284543091381725,9.718056388722255e-06
21	417135740	5000.0	0.0034	0.006	0.029371	0.1707730453909218,0.3345868826234753,0.26842003599280145,0.13836672665466906,0.05827118576284743,0.02113273345330934,0.006348450309938012,0.0014713057388522296,0.0005638072385522895,6.282743451309738e-05,2.999400119976005e-06
22	1725067389	5000.0	0.0034	0.006	0.068553	0.03590609878024395,0.16191033793241352,0.2640040391921616,0.2550987402519496,0.1637864827034593,0.08184327134573086,0.026074105178964208,0.008462667466506698,0.0022871825634873024,0.0005190561887622475,0.00010469906018796241,3.239352129574085e-06,7.998400319936013e-08
23	245996671	5000.0	0.0034	0.006	-0.007656	0.16724175164967006,0.27227046590681864,0.2582363527294541,0.17530789842031594,0.08398576284743052,0.030968246350729853,0.009244511097780444,0.002315736852629474,0.00025302939412117574,0.00014657068586282744,2.7354529094181163e-05,2.319536092781444e-06
24	3072594053	5000.0	0.0034	0.006	0.006453	0.14243327334533093,0.28944279144171164,0.27998180363927216,0.17168670265946812,0.07665998800239952,0.02866138772245551,0.008786722655468907,0.0018279144171165767,0.00029230153969206157,0.0002094781043791242,1.6236752649470107e-05,1.3997200559888023e-06
