sim_id	seed	popsize	selcoef	mutrate	velocity	profile
17	2196375108	5000.0	0.001	0.00138462	0.122143	0.20948002399520096,0.3983784843031394,0.2344893021395721,0.09760555888822235,0.035558048390321936,0.01085610877824435,0.009939492101579683,0.00297128574285143,0.0006203959208158368,0.00010121975604879025,7.998400319936013e-08
10	3740434982	5000.0	0.001	0.00138462	0.203306	0.22394257148570285,0.3584626674665067,0.2596720655868826,0.11140667866426715,0.037986562687462505,0.006737852429514097,0.0016624275144971005,9.802039592081584e-05,3.099380123975205e-05,1.5996800639872026e-07
14	1796464182	5000.0	0.001	0.00138462	-0.058722	0.2834887822435513,0.4118879824035193,0.18544735052989403,0.07969666066786643,0.029058148370325936,0.0071466906618676265,0.0031096580683863226,0.00015372925414917018,1.0037992401519696e-05,9.598080383923216e-07
18	3720979019	5000.0	0.001	0.00138462	-0.009801	0.2285368526294741,0.3036811837632474,0.2991266546690662,0.126952049590082,0.03818340331933613,0.003410117976404719,0.00010917816436712658,5.598880223955209e-07
3	3748376073	5000.0	0.001	0.00138462	-0.023071	0.19629358128374325,0.3294880223955209,0.2429243351329734,0.11025910817836433,0.08334773045390922,0.030153889222155568,0.006306818636272745,0.0011664467106578685,5.982803439312138e-05,2.399520095980804e-07
4	2501047819	5000.0	0.001	0.00138462	0.050813	0.1423499300139972,0.3188803839232154,0.23675184963007398,0.19649002199560087,0.08214021195760848,0.019678184363127373,0.0034680263947210557,0.000239752049590082,1.6396720655868826e-06
15	1118443069	5000.0	0.001	0.00138462	-0.114629	0.2816881823635273,0.3239798440311938,0.14273821235752848,0.17051193761247752,0.05827710457908419,0.017737012597480502,0.003684583083383323,0.0012159568086382723,0.00016664667066586684,5.198960207958409e-07
16	2032641602	5000.0	0.001	0.00138462	-0.082723	0.3436619076184763,0.3519481303739252,0.18250057988402318,0.09390401919616077,0.018310617876424715,0.007380203959208158,0.0016063587282543492,0.0006614677064587083,2.6714657068586283e-05
5	661369870	5000.0	0.001	0.00138462	0.034595	0.45106878624275143,0.2789375324935013,0.16735356928614278,0.06854493101379724,0.02620643871225755,0.007318536292741451,0.0005531693661267747,1.703659268146371e-05
9	3635761186	5000.0	0.001	0.00138462	0.035583	0.3284087182563487,0.29788494301139773,0.19365806838632274,0.11817152569486103,0.0416756648670266,0.012337932413517296,0.00619252149570086,0.0015770845830833833,9.334133173365327e-05,1.9996000799840033e-07
8	2794533913	5000.0	0.001	0.00138462	0.184003	0.16855448910217957,0.4169344531093781,0.22920503899220157,0.11727390521895621,0.05175592881423715,0.013896380723855229,0.0023004199160167964,7.638472305538892e-05,2.999400119976005e-06
