sim_id	seed	popsize	selcoef	mutrate	velocity	profile
1	1938849794	5000.0	0.0022	0.006	0.086251	0.00418996200759848,0.09166638672265547,0.21112341531693662,0.2533596480703859,0.20835748850229954,0.13028894221155768,0.0627874025194961,0.02547762447510498,0.008173245350929814,0.0035306138772245553,0.0008220755848830234,0.00020011997600479905,2.1555688862227554e-05,1.5196960607878424e-06
19	75440195	5000.0	0.0022	0.006	0.037307	0.08528530293941211,0.20204875024995,0.24923235352929415,0.21607110577884422,0.1384015596880624,0.0632503099380124,0.028625754849030193,0.010967646470705859,0.004409118176364727,0.001120615876824635,0.0005254549090181964,5.798840231953609e-05,4.039192161567687e-06
4	2746511365	5000.0	0.0022	0.006	0.115985	0.03679764047190562,0.1591365726854629,0.2410150369926015,0.24446606678664268,0.1583620075984803,0.08994581083783243,0.04614693061387722,0.016485582883423316,0.004644471105778844,0.0016630273945210958,0.0008154369126174765,0.0002503499300139972,3.81123775244951e-05,9.490101979604079e-05,0.0001181363727254549,1.987602479504099e-05,3.9992001599680065e-08
16	3226122296	5000.0	0.0022	0.006	0.069090	0.00042983403319336134,0.07815624875024994,0.2276099980003999,0.2671931613677265,0.21335536892621476,0.12187638472305538,0.05608374325134973,0.022751049790041993,0.008421955608878224,0.0034153969206158767,0.0006166766646670666,8.742251549690062e-05,2.7594481103779245e-06
9	3350087714	5000.0	0.0022	0.006	0.132129	0.043655548890221954,0.18789598080383924,0.24471637672465507,0.22170317936412717,0.15639248150369925,0.08449698060387922,0.03979728054389122,0.01553877224555089,0.0044757048590281946,0.0011402919416116776,0.00016184763047390522,2.3475304939012197e-05,2.0795840831833635e-06
17	1726524	5000.0	0.0022	0.006	0.148409	0.03709882023595281,0.1436495900819836,0.2189658468306339,0.2250117576484703,0.18288134373125375,0.10737004599080184,0.05118480303939212,0.022168286342731453,0.007577204559088183,0.0032364327134573084,0.0005906018796240751,0.00022911417716456708,3.579284143171366e-05,3.5992801439712056e-07
6	1026670607	5000.0	0.0022	0.006	0.042147	0.06048634273145371,0.162599600079984,0.23469578084383125,0.22226930613877224,0.16118376324735054,0.08758308338332334,0.04482763447310538,0.0180125574885023,0.006184483103379324,0.0016650269946010799,0.0004473505298940212,4.307138572285543e-05,1.999600079984003e-06
12	165412908	5000.0	0.0022	0.006	0.091943	0.07468142371525695,0.2184878224355129,0.2539874025194961,0.2025375724855029,0.13193357328534294,0.07028570285942812,0.030799400119976006,0.01174125174965007,0.004314337132573486,0.001055748850229954,0.0001735252949410118,2.1995600879824035e-06,3.9992001599680065e-08
18	133273667	5000.0	0.0022	0.006	0.104295	0.022165646870625874,0.13324559088182364,0.23578120375924816,0.22576936612677465,0.17872057588482304,0.10959496100779845,0.05734117176564687,0.02504635072985403,0.008476464707058588,0.0025803239352129572,0.0008555488902219556,0.00040071985602879425,2.1915616876624675e-05,1.5996800639872026e-07
13	381890607	5000.0	0.0022	0.006	0.135550	0.033816476704659065,0.1729358928214357,0.25320743851229754,0.21694585082983403,0.15463227354529094,0.08846998600279944,0.046767886422715454,0.020939092181563687,0.008259708058388323,0.0027461707658468304,0.0009716456708658268,0.00024743051389722055,5.7228554289142175e-05,2.319536092781444e-06,5.99880023995201e-07
7	2997145620	5000.0	0.0022	0.006	-0.006543	0.14076052789442112,0.21576064787042593,0.2207104579084183,0.19106458708258348,0.1245514097180564,0.061001799640071984,0.031193561287742453,0.011024715056988602,0.0027474105178964207,0.0008668266346730654,0.0002802239552089582,3.607278544291142e-05,1.7596480703859228e-06
14	3402201141	5000.0	0.0022	0.006	0.056728	0.07709102179564087,0.1902619076184763,0.2752443911217756,0.21279680063987202,0.13659288142371526,0.0680506698660268,0.027966966606678665,0.007906298740251949,0.0027408918216356728,0.0011316536692661467,0.00017400519896020795,3.027394521095781e-05,1.219756048790242e-05,3.9992001599680065e-08
0	1693642752	5000.0	0.0022	0.006	0.109538	0.04178624275144971,0.15614673065386922,0.21862723455308938,0.23275692861427713,0.17346414717056588,0.1026250349930014,0.04738916216756649,0.018312937412517497,0.006351769646070786,0.0021523295340931813,0.00031305738852229555,6.850629874025195e-05,5.91881623675265e-06
3	4022841350	5000.0	0.0022	0.006	0.198928	0.04725362927414517,0.18183431313737253,0.25729570085982806,0.230749050189962,0.15554873025394922,0.07621119776044791,0.030888702259548092,0.012194121175764848,0.005505978804239152,0.0018652269546090782,0.0004730253949210158,0.00017184563087382525,8.478304339132174e-06
