sim_id	seed	popsize	selcoef	mutrate	velocity	profile
1	9019400	5000.0	0.000358	0.006	0.570769	0.0030996600679864027,0.02245346930613877,0.04710217956408718,0.0732497900419916,0.1440485902819436,0.15634609078184364,0.15431085782843432,0.12217044591081784,0.08005894821035793,0.05923983203359328,0.046874745050989805,0.040024235152969406,0.029929494101179763,0.015912177564487102,0.004132813437312538,0.000827874425114977,0.0002104779044191162,8.278344331133774e-06,3.9992001599680065e-08
13	113754211	5000.0	0.000358	0.006	0.635248	0.002481503699260148,0.025641631673665267,0.06661191761647671,0.10579088182363527,0.11881823635272945,0.1404477104579084,0.13418448310337933,0.11235892821435713,0.08747098580283943,0.061167606478704256,0.04678036392721456,0.03984011197760448,0.024564327134573086,0.013948370325934814,0.007874865026994601,0.004966006798640272,0.0044384723055388925,0.0019648070385922816,0.0005135372925414917,0.00011941611677664467,1.16376724655069e-05,2.7994401119776045e-06,1.3997200559888023e-06
7	1685970990	5000.0	0.000358	0.006	0.370302	0.0028766646670665866,0.027132293541291742,0.056991881623675265,0.09233849230153969,0.11927078584283143,0.1168241151769646,0.13927982403519296,0.13033053389322136,0.10135544891021796,0.07399460107978405,0.05196940611877624,0.03191901619676065,0.02252885422915417,0.01795640871825635,0.00878012397520496,0.0033077784443111377,0.002476464707058588,0.000491501699660068,0.0001378524295140972,3.699260147970406e-05,9.598080383923216e-07
5	1950439460	5000.0	0.000358	0.006	0.350659	0.00023063387322535493,0.008077864427114577,0.03293881223755249,0.0718111977604479,0.11592149570085983,0.11510361927614478,0.12212969406118776,0.12216528694261147,0.11283811237752449,0.10039028194361128,0.06919456108778245,0.04765834833033393,0.032355928814237156,0.019634193161367726,0.013577724455108978,0.008658068386322736,0.003448150369926015,0.002266506698660268,0.0008997000599880024,0.00044863027394521096,0.00010265946810637873,0.00010869826034793041,2.4875024995001e-05,1.3837232553489301e-05,1.1197760447910417e-06
19	2892959878	5000.0	0.000358	0.006	0.582396	0.0011650469906018797,0.015589882023595281,0.06579248150369926,0.12356380723855229,0.1240625074985003,0.13337292541491702,0.13320179964007198,0.11150321935612878,0.09347226554689061,0.06288470305938812,0.04725838832233553,0.03505502899420116,0.02528590281943611,0.018181723655268947,0.006575084983003399,0.0024,0.0005677264547090582,5.19496100779844e-05,1.5316936612677465e-05,2.399520095980804e-07
10	3331147857	5000.0	0.000358	0.006	0.572739	0.00036696660667866427,0.000577004599080184,0.0016933413317336533,0.0009006598680263947,0.0022668266346730654,0.01306118776244751,0.04520487902419516,0.0959614077184563,0.13337252549490103,0.16094497100579885,0.1406771445710858,0.10444051189762048,0.0923123375324935,0.0716493101379724,0.05401635672865427,0.03879496100779844,0.02119780043991202,0.010585242951409718,0.00711117776444711,0.0029849630073985204,0.0013724055188962208,0.0003881623675264947,2.1475704859028193e-05,8.878224355128974e-05,9.318136372725454e-06,2.7994401119776043e-07
9	1481832523	5000.0	0.000358	0.006	0.575129	0.0009644071185762848,0.011069826034793041,0.045493221355728856,0.10742883423315337,0.15269518096380724,0.1700122375524895,0.1484749050189962,0.11812297540491902,0.08978140371925615,0.06662967406518697,0.03966670665866827,0.024899260147970406,0.014950889822035593,0.006040991801639672,0.0024413117376524693,0.0009826434713057389,0.0002768246350729854,6.55868826234753e-05,2.959408118376325e-06,1.5996800639872026e-07
4	3371857944	5000.0	0.000358	0.006	0.491703	0.0005451309738052389,0.004244551089782044,0.020217996400719855,0.037770885822835436,0.048610517896420714,0.0692741851629674,0.10730789842031593,0.12190449910017996,0.12180975804839032,0.10326914617076585,0.09490265946810637,0.07870849830033994,0.05641367726454709,0.04155968806238752,0.03592625474905019,0.02238640271945611,0.01563239352129574,0.011600879824035192,0.00541751649670066,0.0019644471105778843,0.0004270345930813837,0.00010313937212557489,2.7994401119776045e-06,3.9992001599680065e-08
8	4112969798	5000.0	0.000358	0.006	0.429467	0.001693621275744851,0.01633369326134773,0.05221347730453909,0.07608290341931613,0.1096633473305339,0.14339472105578885,0.1626632273545291,0.1413896820635873,0.1252976604679064,0.08264619076184763,0.043001199760047994,0.022868026394721054,0.01053633273345331,0.004829274145170966,0.002209798040391922,0.0025688462307538493,0.0012283543291341731,0.000853989202159568,0.00031365726854629074,2.3155368926214757e-05,5.078984203159368e-06,0.0001723255348930214,1.1237752449510098e-05,1.9996000799840033e-07
18	4163692669	5000.0	0.000358	0.006	0.692665	0.001217756448710258,0.008800559888022395,0.026591921615676865,0.043253589282143574,0.06440895820835833,0.10179484103179365,0.12230289942011598,0.15740335932813437,0.1375518096380724,0.10724943011397721,0.08928162367526495,0.06268802239552089,0.0403370525894821,0.0196626274745051,0.008983043391321735,0.0032729454109178165,0.0036167166566686663,0.0012235552889422116,0.00032941411717656466,2.9474105178964208e-05,3.9992001599680065e-07
