sim_id	seed	popsize	selcoef	mutrate	velocity	profile
6	3320856615	5000.0	0.000288	0.006	0.294954	0.007955408918216356,0.021038312337532495,0.04321331733653269,0.05945986802639472,0.07763099380123975,0.08639764047190562,0.1155012197560488,0.1293752449510098,0.11612709458108378,0.09785142971405719,0.07449390121975605,0.06126434713057388,0.04135524895020996,0.029288222355528894,0.019327654469106177,0.01027006598680264,0.0036344331133773247,0.002254829034193161,0.0022223955208958207,0.001116496700659868,0.00017876424715056988,3.0073985202959407e-05,1.2837432513497301e-05,1.9996000799840033e-07
16	744368210	5000.0	0.000288	0.006	0.323771	0.005157968406318736,0.029193001399720055,0.07115368926214757,0.08295264947010599,0.10647782443511297,0.11407354529094181,0.11120715856828635,0.08931161767646471,0.08004507098580284,0.07211069786042791,0.07093081383723256,0.06252793441311738,0.042536852629474105,0.023105738852229555,0.018182803439312136,0.010863107378524296,0.004309458108378324,0.0025016996600679864,0.0018473505298940212,0.0012208358328334333,0.00021287742451509697,7.082583483303339e-05,6.47870425914817e-06
17	1767454803	5000.0	0.000288	0.006	0.556355	0.0016924615076984602,0.022827954409118178,0.07489862027594481,0.10617160567886423,0.1107627674465107,0.13234561087782443,0.13010421915616877,0.11687818436312737,0.09469246150769846,0.061165566886622676,0.04921395720855829,0.031134373125374926,0.026811917616476704,0.015227594481103779,0.0075530093981203755,0.007925694861027795,0.0050374725054989,0.0026129174165166968,0.0014496700659868027,0.0005322935412917417,0.0003905218956208758,0.0003896020795840832,0.00016324735052989403,9.518096380723854e-06,8.478304339132174e-06,2.7994401119776043e-07
7	1839974441	5000.0	0.000288	0.006	0.677761	0.0006196760647870426,0.0027779644071185762,0.01651845630873825,0.05404831033793241,0.0918125174965007,0.15715892821435712,0.19000103979204158,0.15822887422515497,0.11273881223755249,0.08029438112377524,0.06180291941611678,0.035461627674465104,0.0213002199560088,0.007167646470705859,0.004880623875224955,0.0026040791841631674,0.0011402119576084783,0.0002828234353129374,0.0006581483703259348,0.0002965406918616277,0.00010821835632873426,4.195160967806439e-05,5.4549090181963604e-05,1.4797040591881624e-06
3	1483032589	5000.0	0.000288	0.006	0.325806	0.006493141371725655,0.02388626274745051,0.04069874025194961,0.07003667266546691,0.07814397120575885,0.08472657468506299,0.0930498300339932,0.09902031593681264,0.0965497700459908,0.07416648670265946,0.06798868226354729,0.065949450109978,0.04951821635672866,0.03729810037992402,0.030472185562887423,0.03059864027194561,0.027208598280343933,0.015153249350129974,0.0069759648070385925,0.001603239352129574,0.00041879624075184964,3.699260147970406e-05,5.958808238352329e-06,1.5996800639872026e-07
0	1087129609	5000.0	0.000288	0.006	0.524741	0.002826154769046191,0.00629494101179764,0.01836892621475705,0.05548322335532893,0.1119873625274945,0.12792273545290941,0.13681691661667666,0.12474577084583083,0.0945380123975205,0.08160155968806239,0.07544007198560287,0.06629522095580884,0.04085106978604279,0.02434749050189962,0.014929054189162167,0.00902871425714857,0.004666626674665067,0.002479144171165767,0.0006581883623275345,0.0003978004399120176,0.00029842031593681266,2.2235552889422114e-05,3.5992801439712056e-07
8	276645938	5000.0	0.000288	0.006	0.558598	0.0015900819836032793,0.0078000399920016,0.02077016596680664,0.06401667666466707,0.10586490701859629,0.12340167966406719,0.1377610077984403,0.12779636072785444,0.10895596880623876,0.0914876624675065,0.07498512297540492,0.049649070185962804,0.03543291341731654,0.018718016396720657,0.01250993801239752,0.004631113777244551,0.007101739652069586,0.005154009198160368,0.0016145170965806838,0.000668506298740252,8.870225954809038e-05,1.799640071985603e-06
9	4107307061	5000.0	0.000288	0.006	0.548733	0.0017434913017396522,0.008823235352929414,0.01903907218556289,0.030230633873225356,0.04556648670265947,0.05633937212557488,0.0665883223355329,0.0924757848430314,0.11174385122975405,0.13203151369726054,0.12287542491501699,0.09284975004999,0.07943143371325735,0.05445266946610678,0.04270645870825835,0.024509218156368726,0.0106375124975005,0.003977644471105779,0.00232125574885023,0.0013344531093781244,0.00028618276344731053,2.3235352929414118e-05,1.2837432513497301e-05,1.5996800639872026e-07
2	1692026892	5000.0	0.000288	0.006	0.532506	0.0037560087982403518,0.01262003599280144,0.041131333733253346,0.06526006798640271,0.10099904019196161,0.13392805438912217,0.1447850829834033,0.12697020595880823,0.11084235152969406,0.08972277544491102,0.05608382323535293,0.03906170765846831,0.02590261947610478,0.019926694661067786,0.013552409518096381,0.007780283943211358,0.0034399120175964805,0.0030460707858428315,0.0006493101379724055,0.0004834233153369326,5.734853029394121e-05,1.3997200559888023e-06,3.9992001599680065e-08
12	3318810691	5000.0	0.000288	0.006	0.514990	0.0024493101379724053,0.013044111177764448,0.03077620475904819,0.06175924815036993,0.11834157168566287,0.14433953209358127,0.12689402119576085,0.1127116176764647,0.08697368526294741,0.06725670865826834,0.06375600879824035,0.050283223355328935,0.03972201559688062,0.03122971405718856,0.024421995600879823,0.014605318936212757,0.007023275344931014,0.0032779844031193763,0.0007555688862227554,0.00023687262547490503,7.574485102979404e-05,6.394721055788842e-05,2.319536092781444e-06
