sim_id	seed	popsize	selcoef	mutrate	velocity	profile
3	3366969352	5000.0	0.000295	0.006	0.449372	0.005757888422315537,0.02404491101779644,0.04109478104379124,0.06988470305938813,0.10025890821835633,0.11028894221155769,0.11389042191561688,0.11782547490501899,0.10808254349130174,0.10125738852229554,0.07232561487702459,0.053375884823035395,0.03133021395720856,0.02082747450509898,0.012217956408718256,0.010335372925414917,0.004752969406118776,0.0020757048590281943,0.00024235152969406118,9.430113977204559e-05,3.4473105378924215e-05,1.6796640671865626e-06,3.9992001599680065e-08
15	2131437609	5000.0	0.000295	0.006	0.653620	0.0020691861627674464,0.005055428914217157,0.011292381523695261,0.02709090181963607,0.05873225354929014,0.09625974805038992,0.12168146370725855,0.12766486702659469,0.12593957208558287,0.12496084783043392,0.10710913817236553,0.06375940811837633,0.03985974805038992,0.029251709658068385,0.02537368526294741,0.01548510297940412,0.010624395120975804,0.0045975204959008194,0.0025899220155968807,0.0005636072785442912,3.2753449310137974e-05,6.11877624475105e-06,2.399520095980804e-07
0	2117842945	5000.0	0.000295	0.006	0.514428	0.0018782643471305738,0.014039272145570885,0.05742847430513897,0.1074881823635273,0.13351481703659268,0.12808146370725854,0.13990361927614478,0.12106062787442512,0.10078200359928015,0.07393081383723256,0.05234173165366927,0.0304125574885023,0.015446150769846031,0.009265826834633074,0.006423115376924615,0.003937372525494901,0.0025596880623875223,0.00048198360327934413,0.0005121375724855029,0.0004581883623275345,4.89502099580084e-05,4.719056188762248e-06,3.9992001599680065e-08
8	1728491546	5000.0	0.000295	0.006	0.737093	0.0022754249150169965,0.012207078584283144,0.03929854029194161,0.0764003199360128,0.10551937612477505,0.11625814837032593,0.1170377524495101,0.11951761647670466,0.1148876224755049,0.0981117376524695,0.07397452509498101,0.05101891621675665,0.03762011597680464,0.020519256148770246,0.007696940611877624,0.0029246950609878026,0.0019010197960407918,0.0014399120175964807,0.0003474505098980204,6.354729054189162e-05,6.706658668266347e-05,0.00028314337132573483,0.00046430713857228555,8.862227554489103e-05,8.678264347130574e-06,6.74265146970606e-05,7.598480303939212e-07
19	639316043	5000.0	0.000295	0.006	0.305988	0.00027718456308738253,0.0043628074385122975,0.02026738652269546,0.06779116176764648,0.08568082383523296,0.10008982203559288,0.12531977604479105,0.109300299940012,0.09838504299140172,0.09486798640271946,0.09476036792641472,0.06381031793641272,0.038150809838032394,0.02193373325334933,0.017930893821235753,0.015729374125174965,0.015424435112977404,0.009066666666666667,0.005560127974405119,0.0029510497900419918,0.0015138972205558888,0.0009378124375124975,0.0019402919416116778,0.0016145970805838833,0.0012943811237752449,0.00048210357928414317,0.0001580883823235353,0.0003002999400119976,4.787042591481703e-05,4.1071785642871425e-05,9.358128374325134e-06,1.5996800639872026e-07
13	2063851555	5000.0	0.000295	0.006	0.735601	0.0018204359128174365,0.007042071585682864,0.026714657068586282,0.057897060587882423,0.10135104979004199,0.1372251949610078,0.16522171565686863,0.1711131773645271,0.12381567686462708,0.08639912017596481,0.05269514097180564,0.0327374925014997,0.02020399920015997,0.009039392121575686,0.003794161167766447,0.0011676864627074585,0.0005959608078384323,0.0006701859628074385,0.0003396520695860828,0.00010509898020395921,4.83503299340132e-05,2.679464107178564e-06,3.9992001599680065e-08
7	4267763734	5000.0	0.000295	0.006	0.638269	0.0010879824035192962,0.005288222355528894,0.012077944411117777,0.02626122775444911,0.05238572285542891,0.0853994801039792,0.12314057188562287,0.14158964207158567,0.15481959608078386,0.1365372525494901,0.10358380323935212,0.0680867826434713,0.03889178164367126,0.01992085582883423,0.010488502299540093,0.006881143771245751,0.006826074785042991,0.004648590281943611,0.0017439312137572484,0.00030533893221355727,3.4113177364527094e-05,1.3997200559888023e-06,3.9992001599680065e-08
6	666126350	5000.0	0.000295	0.006	0.540205	0.0033694461107778443,0.02609110177964407,0.07738520295940812,0.11330929814037193,0.13497824435112976,0.12002219556088782,0.09235540891821635,0.08535584883023395,0.07371013797240551,0.07238632273545291,0.06946830633873226,0.050870905818836236,0.032832873425314935,0.021963767246550688,0.015121535692861428,0.005425194961007798,0.002931373725254949,0.0019799240151969605,0.0004163167366526695,1.915616876624675e-05,7.438512297540492e-06
9	2923397150	5000.0	0.000295	0.006	0.637190	0.0012132773445310938,0.005495340931813637,0.01363503299340132,0.035278064387122575,0.07354649070185963,0.12788814237152568,0.15759012197560487,0.14643355328934213,0.13512313537292542,0.09388470305938812,0.06454293141371725,0.038178044391121775,0.03730709858028394,0.027699020195960808,0.013121935612877424,0.013726734653069386,0.008432593481303739,0.003123255348930214,0.0024465906818636274,0.0007304939012197561,0.00010469906018796241,0.00023739252149570085,0.00022319536092781444,3.343331333733253e-05,4.559088182363528e-06,1.5996800639872026e-07
5	1119367179	5000.0	0.000295	0.006	0.681121	0.0014965406918616276,0.007856068786242752,0.0209247350529894,0.051952769446110776,0.1148614677064587,0.1420108378324335,0.1427886022795441,0.12792721455708858,0.12052665466906619,0.09379164167166566,0.07061843631273745,0.04339760047990402,0.024232793441311736,0.013986682663467306,0.008340371925614877,0.004324015196960608,0.0028317936412717458,0.0031162967406518694,0.002438952209558088,0.0011001799640071985,0.0009716456708658268,0.00027310537892421513,0.0001925614877024595,3.599280143971206e-05,2.999400119976005e-06,3.9992001599680065e-08
