sim_id	seed	popsize	selcoef	mutrate	velocity	profile
2	3991128075	5000.0	0.001	0.0262	0.505135	0.0002469506098780244,0.0027391321735652867,0.008740411917616476,0.01970973805238952,0.034999640071985604,0.05333373325334933,0.06767314537092581,0.0827998400319936,0.09400903819236153,0.10032709458108378,0.10120343931213757,0.09430849830033994,0.08460223955208958,0.07101491701659668,0.05440335932813437,0.04233097380523895,0.031096780643871225,0.021387042591481702,0.014494341131773645,0.008981883623275344,0.005613677264547091,0.0029510897820435914,0.0016795440911817636,0.0008026794641071785,0.00042151569686062787,8.822235552889422e-05,2.9674065186962606e-05,6.71865626874625e-06,4.079184163167366e-06,5.99880023995201e-07
17	1524619346	5000.0	0.001	0.0262	0.480060	0.00021571685662867426,0.0013331333733253349,0.005571405718856229,0.01250733853229354,0.020759408118376326,0.032709778044391125,0.04985554889022196,0.06868978204359129,0.08514973005398921,0.09097336532693462,0.09431065786842631,0.08896904619076185,0.08226074785042992,0.07481931613677265,0.06443607278544292,0.054611917616476706,0.04513205358928214,0.03640819836032794,0.02810241951609678,0.020732173565286942,0.014290461907618476,0.009589642071585682,0.0060265946810637875,0.0037263347330533892,0.00292625474905019,0.0024725854829034193,0.0016672265546890622,0.000903379324135173,0.0004192761447710458,0.0002687862427514497,0.00012753449310137972,2.7274545090981802e-05,4.1991601679664066e-06,2.439512097580484e-06,1.9996000799840033e-07
4	573427732	5000.0	0.001	0.0262	0.524560	0.00010593881223755249,0.0004799040191961608,0.0023636872625474904,0.007710137972405519,0.016679424115176963,0.030805478904219155,0.046266986602679465,0.06855720855828834,0.08685866826634674,0.10101679664067187,0.1108741051789642,0.10519196160767846,0.09552841431713657,0.08356952609478105,0.06844799040191962,0.054471345730853826,0.04052761447710458,0.02746638672265547,0.01907970405918816,0.013106538692261548,0.00863623275344931,0.00524623075384923,0.0030045590881823637,0.0019820835832833434,0.001084263147370526,0.0004975404919016197,0.0002462707458508298,0.00014109178164367126,3.295340931813637e-05,1.891621675664867e-05,1.999600079984003e-06,3.9992001599680065e-08
6	2807033885	5000.0	0.001	0.0262	0.441475	0.00016452709458108377,0.0006668666266746651,0.002336172765446911,0.006229034193161368,0.011719096180763847,0.020166606678664267,0.03404823035392921,0.05070089982003599,0.06360935812837433,0.07813189362127575,0.09376896620675865,0.09772709458108378,0.09956844631073786,0.09901599680063987,0.08483271345730854,0.06853201359728055,0.05320951809638073,0.04154573085382923,0.030168926214757048,0.021848270345930815,0.015211757648470306,0.010394641071785643,0.006506818636272746,0.0039042991401719656,0.0021660467906418714,0.00115124975004999,0.000770125974805039,0.0006792641471705658,0.0005798440311937613,0.0003326534693061388,0.00015692861427714456,0.00012009598080383924,3.031393721255749e-05,5.438912217556489e-06,1.5996800639872026e-07
10	3994929215	5000.0	0.001	0.0262	0.508787	0.00022191561687662467,0.002800399920015997,0.01115620875824835,0.024413037392521496,0.04412857428514297,0.06512625474905019,0.08207958408318336,0.09204187162567487,0.10583399320135972,0.10762703459308139,0.09782951409718056,0.08616088782243551,0.07608194361127775,0.06242019596080784,0.04492813437312537,0.03160239952009598,0.0238253549290142,0.015677064587082585,0.010367326534693062,0.006697540491901619,0.003962927414517097,0.002372605478904219,0.0013563287342531493,0.0006697860427914417,0.0003552889422115577,0.00018732253549290142,5.046990601879624e-05,2.2915416916616678e-05,1.0797840431913617e-06,8.798240351929614e-07,1.159768046390722e-06
9	3634831422	5000.0	0.001	0.0262	0.391793	0.00014893021395720856,0.0007296940611877625,0.0020474705058988203,0.006148650269946011,0.015940251949610077,0.029485502899420115,0.04389474105178964,0.056038272345530896,0.0669876024795041,0.07601655668866227,0.08825098980203959,0.09134789042191561,0.09149518096380724,0.08602111577684463,0.07415860827834433,0.061437632473505296,0.05098260347930414,0.04089342131573685,0.031048990201959607,0.024062827434513098,0.019544691061787644,0.014654309138172365,0.010463267346530693,0.007590641871625675,0.004515696860627874,0.0025966806638672265,0.0015566486702659468,0.0009425714857028595,0.0004599880023995201,0.0002100379924015197,0.00021095780843831234,8.154369126174765e-05,2.6034793041391723e-05,7.998400319936012e-06,1.999600079984003e-06
8	3478384697	5000.0	0.001	0.0262	0.568403	6.994601079784043e-05,0.00024407118576284743,0.0021924415116976606,0.00583995200959808,0.013974565086982603,0.027832993401319735,0.05093445310937812,0.07883507298540292,0.10072689462107579,0.10977096580683864,0.11210997800439912,0.10780475904819037,0.0931371725654869,0.07726686662667466,0.06329442111577685,0.049995880823835236,0.035477104579084186,0.025081663667266548,0.016612117576484703,0.010889302139572085,0.007392281543691262,0.004461107778444311,0.0025581683663267346,0.0015354529094181164,0.0009032193561287743,0.0005705658868226355,0.00023887222555488903,0.00011917616476704659,9.12617476504699e-05,3.6272745450909816e-05,2.959408118376325e-06,3.9992001599680065e-08
12	2712041544	5000.0	0.001	0.0262	0.388990	0.00047698460307938413,0.003230873825234953,0.009064427114577084,0.018272225554889023,0.033872945410917815,0.052153049390121976,0.07203059388122375,0.08960559888022396,0.09894605078984203,0.09811489702059588,0.09656116776644671,0.08998960207958408,0.0769624475104979,0.06475808838232354,0.05207626474705059,0.04044187162567486,0.03093893221355729,0.023689462107578486,0.016523015396920616,0.01031013797240552,0.007926574685062988,0.0046964207158568284,0.0034717856428714256,0.0023105778844231153,0.0015648470305938812,0.0009034193161367726,0.0006275944811037792,0.00029718056388722253,0.00013205358928214357,3.89122175564887e-05,1.1557688462307538e-05,4.399120175964807e-07
3	2954397709	5000.0	0.001	0.0262	0.488972	0.00019700059988002398,0.0014472705458908218,0.004958768246350729,0.015118536292741451,0.028639432113577286,0.0494377124575085,0.0659879624075185,0.08203927214557089,0.09511785642871426,0.09933953209358129,0.0985621275744851,0.09437304539092181,0.08309770045990802,0.07261519696060788,0.05808378324335133,0.0461493301339732,0.03388102379524095,0.024504139172165568,0.0180124775044991,0.011188922215556889,0.00661507698460308,0.004442031593681264,0.0028225554889022195,0.0015434113177364528,0.0010009598080383923,0.0003612877424515097,0.00024067186562687462,8.930213957208559e-05,9.966006798640271e-05,2.8314337132573486e-05,2.399520095980804e-06,2.7194561087782445e-06,3.199360127974405e-07,1.9996000799840033e-07
0	135895046	5000.0	0.001	0.0262	0.464736	3.923215356928614e-05,0.00031345730853829236,0.0007750449910017996,0.0028980603879224156,0.009620755848830233,0.023359328134373126,0.046368766246750646,0.06778428314337133,0.08474913017396521,0.10061547690461907,0.10658928214357129,0.10390621875624875,0.09630761847630474,0.08431789642071585,0.07095644871025795,0.05774493101379724,0.04363479304139172,0.03248254349130174,0.024109898020395922,0.01727366526694661,0.010450549890021995,0.006684903019396121,0.0037205358928214358,0.0021966806638672267,0.001401519696060788,0.0008063587282543492,0.00039876024795040994,0.0002827834433113377,0.00012925414917016597,5.790841831633673e-05,1.895620875824835e-05,4.319136172765447e-06,6.39872025594881e-07
